# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 25219002
# NOM_USUEL= EPENOY
# LATITUDE (°) = 47.127
# LONGITUDE(°)= 6.366
# ALTITUDE (m) = 752
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX125219002
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195901 202312
# Date(s) de rupture(s) d'homogénéité : 196512 198612 200606
#     Periode homogénéisée  195901 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;2.7;1
195902;8.1;1
195903;9.9;1
195904;11.2;1
195905;16.2;1
195906;19.1;1
195907;23.4;1
195908;20.4;1
195909;20.3;1
195910;13;1
195911;6.3;1
195912;4.8;1
196001;2.5;1
196002;5.8;1
196003;8.4;1
196004;10.5;1
196005;17.5;1
196006;19.7;1
196007;17.7;1
196008;19;1
196009;14.9;1
196010;10.9;1
196011;7.8;1
196012;1.7;1
196101;2.5;1
196102;8.8;1
196103;10;1
196104;13.7;1
196105;13.6;1
196106;18.7;1
196107;19.1;1
196108;19.5;1
196109;21.1;1
196110;13.5;1
196111;7.5;1
196112;5.4;1
196201;3.9;1
196202;2.4;1
196203;2.9;1
196204;10.9;1
196205;12.7;1
196206;18.3;1
196207;19.9;1
196208;21.4;1
196209;16.8;1
196210;13.8;1
196211;5.9;1
196212;0.7;1
196301;-1.8;1
196302;0.3;1
196303;6.9;1
196304;11.7;1
196305;13.8;1
196306;17.6;1
196307;21.6;1
196308;18;1
196309;17.1;1
196310;12.8;1
196311;10.3;1
196312;4;1
196401;2.3;1
196402;5.4;1
196403;4.4;1
196404;11.5;1
196405;17.1;1
196406;20.8;1
196407;24.4;1
196408;20;1
196409;18.7;1
196410;8.9;1
196411;6.5;1
196412;2.7;1
196501;2.2;1
196502;0.4;1
196503;6.9;1
196504;8.1;1
196505;14.3;1
196506;19.1;1
196507;17.5;1
196508;18.8;1
196509;14.8;1
196510;14.8;1
196511;6.4;1
196512;4.4;1
196601;1.8;1
196602;8;1
196603;5.2;1
196604;11.9;1
196605;15.6;1
196606;19.6;1
196607;17.8;1
196608;18;1
196609;18.5;1
196610;14.1;1
196611;3.5;1
196612;2.5;1
196701;2;1
196702;5.6;1
196703;6.7;1
196704;9.1;1
196705;14.5;1
196706;17.4;1
196707;23;1
196708;20.1;1
196709;16.1;1
196710;15.3;1
196711;8.1;1
196712;-0.3;1
196801;1;1
196802;4.6;1
196803;7.5;1
196804;12.6;1
196805;13.6;1
196806;18;1
196807;20.1;1
196808;17.7;1
196809;15.8;1
196810;16;1
196811;7.8;1
196812;1.7;1
196901;3.9;1
196902;0.6;1
196903;6.9;1
196904;9.2;1
196905;16.1;1
196906;17;1
196907;21.6;1
196908;19.5;1
196909;18.2;1
196910;15.9;1
196911;6.9;1
196912;-1.9;1
197001;3.9;1
197002;1.2;1
197003;3;1
197004;7.5;1
197005;14;1
197006;20.6;1
197007;19.8;1
197008;21.3;1
197009;18.6;1
197010;11.6;1
197011;9.7;1
197012;1.9;1
197101;4.5;1
197102;3.8;1
197103;3.1;1
197104;14.7;1
197105;17.3;1
197106;16.9;1
197107;23.4;1
197108;21.8;1
197109;17.4;1
