# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 50209001
# NOM_USUEL= GONNEVILLE
# LATITUDE (°) = 49.653
# LONGITUDE(°)= -1.464
# ALTITUDE (m) = 134
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX150209001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196201 202212
# Date(s) de rupture(s) d'homogénéité : 197606 200412 201004
#     Periode homogénéisée  196201 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;8.1;1
196202;6.8;1
196203;5.9;1
196204;10.1;1
196205;12.5;1
196206;15.6;1
196207;17.8;1
196208;17.5;1
196209;16.3;1
196210;14.3;1
196211;9.1;1
196212;6.1;1
196301;2;1
196302;2.4;1
196303;9.5;1
196304;11;1
196305;13.1;1
196306;16.4;1
196307;18.3;1
196308;16.9;1
196309;15.6;1
196310;14.1;1
196311;11.4;1
196312;5.8;1
196401;5.2;1
196402;7.4;1
196403;7;1
196404;11.2;1
196405;15.8;1
196406;16.9;1
196407;18.6;1
196408;19.5;1
196409;18.1;1
196410;12.6;1
196411;10.4;1
196412;7.4;1
196501;6.7;1
196502;4.5;1
196503;9.3;1
196504;10.4;1
196505;14.4;1
196506;16.4;1
196507;16.9;1
196508;18;1
196509;15.6;1
196510;15.2;1
196511;8.9;1
196512;9.1;1
196601;5.9;1
196602;9.4;1
196603;9.1;1
196604;12;1
196605;13.6;1
196606;17.6;1
196607;16.9;1
196608;18.2;1
196609;17.7;1
196610;14.1;1
196611;8.8;1
196612;9.3;1
196701;7.6;1
196702;8.5;1
196703;9.5;1
196704;10.2;1
196705;13.5;1
196706;16.1;1
196707;19.5;1
196708;18.5;1
196709;16.2;1
196710;14.1;1
196711;9.7;1
196712;7.8;1
196801;7.9;1
196802;5.5;1
196803;9.3;1
196804;11.3;1
196805;12.4;1
196806;17;1
196807;17.8;1
196808;17.8;1
196809;17.1;1
196810;15.8;1
196811;9.8;1
196812;6.2;1
196901;8.5;1
196902;5.3;1
196903;8.2;1
196904;10.9;1
196905;14.5;1
196906;16.7;1
196907;19.6;1
196908;19.1;1
196909;17.4;1
196910;17.3;1
196911;10;1
196912;6.3;1
197001;7.5;1
197002;7;1
197003;7.2;1
197004;9.5;1
197005;14.8;1
197006;18.2;1
197007;17.7;1
197008;18.6;1
197009;17.9;1
197010;14.1;1
197011;11.6;1
197012;6.5;1
197101;7.3;1
197102;7.5;1
197103;7.3;1
197104;10.4;1
197105;14.5;1
197106;15;1
197107;20.2;1
197108;18.4;1
197109;18.5;1
197110;16.2;1
197111;10.4;1
197112;8.3;1
197201;6.3;1
197202;7.7;1
197203;11.2;1
197204;10.4;1
197205;12.6;1
197206;14.2;1
197207;17.4;1
197208;18.1;1
197209;15.5;1
197210;13.7;1
197211;9.9;1
197212;8.5;1
197301;6.8;1
197302;6.7;1
197303;9.5;1
197304;9.8;1
197305;14.4;1
197306;17.4;1
197307;17.9;1
197308;20.2;1
197309;17.6;1
197310;13.5;1
197311;10.4;1
197312;8.2;1
197401;8.5;1
197402;8.3;1
197403;8.8;1
197404;11.3;1
197405;13.7;1
197406;16.8;1
197407;17.5;1
197408;18.6;1
197409;15.4;1
197410;10.6;1
197411;10.2;1
197412;10;1
197501;9.6;1
197502;9.2;1
197503;7.6;1
197504;10.7;1
197505;12;1
197506;17.9;1
197507;19.9;1
197508;21.5;1
197509;17.3;1
197510;13.7;1
197511;10.1;1
197512;7.1;1
197601;7.6;1
197602;7.4;1
197603;8.2;1
197604;10.2;1
197605;15.9;1
197606;20.6;1
197607;21.4;1
197608;21.2;1
197609;17.7;1
197610;14.2;1
197611;10;1
197612;6.3;1
197701;6.4;1
197702;9.1;1
197703;10.5;1
197704;10;1
197705;13.1;1
197706;14.3;1
197707;18.6;1
197708;18.3;1
197709;16.4;1
197710;15.7;1
197711;10.2;1
197712;9.1;1
197801;6.7;1
197802;6.2;1
197803;9.7;1
197804;9.2;1
197805;13.9;1
197806;15.6;1
197807;17.2;1
197808;17.8;1
197809;17.4;1
197810;15.7;1
197811;11.7;1
197812;7.7;1
197901;3.8;1
197902;5.3;1
197903;8.3;1
197904;10.6;1
197905;13.4;1
197906;15.4;1
197907;18.8;1
197908;17.7;1
197909;17.2;1
197910;14.9;1
197911;10.9;1
197912;9.2;1
198001;5.4;1
198002;9.4;1
198003;8.1;1
198004;11.3;1
198005;14.2;1
198006;16.6;1
198007;17.5;1
198008;19.3;1
198009;18.3;1
198010;13.2;1
198011;9.1;1
198012;8.3;1
198101;8.4;1
198102;6.5;1
198103;10.9;1
198104;10.7;1
198105;14.2;1
198106;15.9;1
198107;18.5;1
198108;20.1;1
198109;18.6;1
198110;12.5;1
198111;10.9;1
198112;7;1
198201;7.6;1
198202;8.1;1
198203;9.4;1
198204;11.7;1
198205;15.2;1
198206;19;1
198207;19;1
198208;18.4;1
198209;19.3;1
198210;13.5;1
198211;11.5;1
198212;7.9;1
198301;9.1;1
198302;5.3;1
198303;9;1
198304;10.8;1
198305;13.3;1
198306;17.1;1
198307;22.7;1
198308;20.5;1
198309;17.5;1
198310;14.4;1
198311;11.3;1
198312;8.8;1
198401;8.1;1
198402;6.7;1
198403;7.8;1
198404;12.2;1
198405;11.4;1
198406;17.7;1
198407;20.6;1
198408;20.5;1
198409;17.1;1
198410;14.3;1
198411;11.7;1
198412;8.3;1
198501;4.2;1
198502;6.6;1
198503;7.9;1
198504;11.8;1
198505;13.6;1
198506;15.8;1
198507;19.5;1
198508;17.9;1
198509;18.4;1
198510;14.4;1
198511;8.7;1
198512;9.3;1
198601;7.5;1
198602;1.8;1
198603;8.7;1
198604;8.6;1
198605;14.1;1
198606;17.7;1
198607;18.5;1
198608;17.3;1
198609;15.2;1
198610;15.3;1
198611;11.2;1
198612;9.4;1
198701;2.4;1
198702;6.6;1
198703;7.4;1
198704;13.6;1
198705;12.9;1
198706;15.6;1
198707;18.5;1
198708;19.3;1
198709;18.3;1
198710;14.1;1
198711;9.9;1
198712;8;1
198801;9;1
198802;8;1
198803;9.1;1
198804;11.1;1
198805;15.2;1
198806;16.8;1
198807;18.2;1
198808;19.1;1
198809;16.8;1
198810;14.5;1
198811;10.1;1
198812;9.9;1
198901;8.1;1
198902;9.4;1
198903;11.5;1
198904;9.9;1
198905;16.8;1
198906;18.1;1
198907;21;1
198908;20.8;1
198909;18.8;1
198910;16;1
198911;10.9;1
198912;9.2;1
199001;9.1;1
199002;11.3;1
199003;11.6;1
199004;11.3;1
199005;16.5;1
199006;16.4;1
199007;20.2;1
199008;21.7;1
