# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 52469001
# NOM_USUEL= CHAUMONT-SEMOUTIERS
# LATITUDE (°) = 48.092
# LONGITUDE(°)= 5.046
# ALTITUDE (m) = 294
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX152469001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196012 197112 198105 198412 200712
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.3;1
195902;9;1
195903;12.5;1
195904;14.4;1
195905;19.2;1
195906;22.2;1
195907;27.1;1
195908;24.2;1
195909;23.7;1
195910;17.5;1
195911;7.3;1
195912;6.2;1
196001;4.2;1
196002;7.1;1
196003;11;1
196004;14.2;1
196005;20.4;1
196006;21.6;1
196007;19.2;1
196008;20.1;1
196009;17.4;1
196010;13.8;1
196011;10.3;1
196012;4.3;1
196101;4.6;1
196102;11.4;1
196103;13;1
196104;16.1;1
196105;15.7;1
196106;21;1
196107;21.7;1
196108;22.1;1
196109;24.1;1
196110;15.7;1
196111;7.7;1
196112;6;1
196201;5.5;1
196202;5.1;1
196203;5.2;1
196204;13.5;1
196205;15;1
196206;20.6;1
196207;21.5;1
196208;24.6;1
196209;19.1;1
196210;15.5;1
196211;6.1;1
196212;2.8;1
196301;-0.5;1
196302;0.7;1
196303;9.6;1
196304;14.1;1
196305;16.4;1
196306;19.4;1
196307;23.2;1
196308;19.7;1
196309;18.7;1
196310;13.4;1
196311;12;1
196312;2.1;1
196401;2;1
196402;7.8;1
196403;7.5;1
196404;14;1
196405;19.1;1
196406;22.7;1
196407;26.1;1
196408;22.4;1
196409;21.2;1
196410;11;1
196411;7.5;1
196412;3.3;1
196501;5.1;1
196502;2.2;1
196503;9.3;1
196504;11.9;1
196505;17.4;1
196506;20.9;1
196507;19.7;1
196508;21.9;1
196509;17.5;1
196510;17.2;1
196511;8.5;1
196512;7;1
196601;3.1;1
196602;10.6;1
196603;8.9;1
196604;15.1;1
196605;18.1;1
196606;22.2;1
196607;19.9;1
196608;20.6;1
196609;20.5;1
196610;16.3;1
196611;5.7;1
196612;5.6;1
196701;3.7;1
196702;7.7;1
196703;10.5;1
196704;13.4;1
196705;17.5;1
196706;21.2;1
196707;26.5;1
196708;23.2;1
196709;19.1;1
196710;17.4;1
196711;8.1;1
196712;2.8;1
196801;3.8;1
196802;6.7;1
196803;10;1
196804;15.5;1
196805;16.1;1
196806;19.9;1
196807;22;1
196808;20.4;1
196809;18.1;1
196810;16.1;1
196811;7.8;1
196812;2.5;1
196901;5.5;1
196902;2.5;1
196903;9.1;1
196904;12.8;1
196905;18;1
196906;18.8;1
196907;24.2;1
196908;22.1;1
196909;20.4;1
196910;17.3;1
196911;9.7;1
196912;0.1;1
197001;4.3;1
197002;4.6;1
197003;5.9;1
197004;9.9;1
197005;17.1;1
197006;22.3;1
197007;22;1
197008;22.6;1
197009;20.7;1
197010;13.1;1
197011;10.2;1
197012;2.9;1
197101;3.9;1
197102;5.4;1
197103;6.1;1
197104;17.5;1
197105;19.5;1
197106;18.4;1
197107;25.8;1
197108;23.4;1
197109;19.4;1
197110;16.9;1
197111;6.4;1
197112;4.8;1
197201;3.9;1
197202;8.4;1
197203;12.5;1
197204;12.1;1
197205;15.9;1
197206;19.8;1
197207;21.9;1
197208;20.9;1
197209;17.1;1
197210;15.5;1
197211;8.7;1
197212;5.9;1
197301;3.1;1
197302;4.4;1
197303;10.2;1
197304;10.9;1
197305;19.1;1
197306;22.4;1
197307;22.7;1
197308;25.2;1
197309;22.3;1
197310;13.3;1
197311;8.3;1
197312;4.1;1
197401;8.1;1
197402;6.9;1
197403;10.7;1
197404;15.1;1
197405;17;1
197406;20.5;1
197407;22.2;1
197408;23.4;1
197409;18.4;1
197410;8.5;1
197411;9.2;1
197412;8;1
197501;7.5;1
197502;9.3;1
197503;7.1;1
197504;12.6;1
197505;16.5;1
197506;20.1;1
197507;24.4;1
197508;24.7;1
197509;20;1
197510;12.3;1
197511;7.6;1
197512;2.4;1
197601;4;1
197602;6.4;1
197603;9.2;1
197604;14;1
197605;19.9;1
197606;26.4;1
197607;26.7;1
197608;24.7;1
197609;18.6;1
197610;14.7;1
197611;7.7;1
197612;3.9;1
197701;4.5;1
197702;8.2;1
197703;12.1;1
197704;11.6;1
197705;17;1
197706;19.8;1
197707;22;1
197708;20.6;1
197709;18.5;1
197710;16.7;1
197711;8.2;1
197712;7.2;1
197801;4.3;1
197802;4.6;1
197803;10.2;1
197804;11.8;1
197805;16.3;1
197806;19.2;1
197807;21.1;1
197808;21.2;1
197809;19.3;1
197810;14.9;1
