# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 53147001
# NOM_USUEL= MAYENNE
# LATITUDE (°) = 48.311
# LONGITUDE(°)= -0.64
# ALTITUDE (m) = 138
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX153147001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195801 202212
# Date(s) de rupture(s) d'homogénéité : 195912 197109 198312 200409 201908
#     Periode homogénéisée  195801 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;7.1;1
195802;9.9;1
195803;8.7;1
195804;12.5;1
195805;18.6;1
195806;19.1;1
195807;20.9;1
195808;21.1;1
195809;21.1;1
195810;14.8;1
195811;9.4;1
195812;8.3;1
195901;7;1
195902;10.1;1
195903;13.2;1
195904;14.2;1
195905;19.3;1
195906;22;1
195907;26.4;1
195908;24.3;1
195909;24.5;1
195910;17.7;1
195911;9.8;1
195912;8.9;1
196001;6.7;1
196002;8.7;1
196003;12.9;1
196004;15.5;1
196005;20.9;1
196006;23.7;1
196007;20.7;1
196008;21.3;1
196009;19;1
196010;14.7;1
196011;11.9;1
196012;5.9;1
196101;6.7;1
196102;11.4;1
196103;14.3;1
196104;16.4;1
196105;17.9;1
196106;21.2;1
196107;23.1;1
196108;22.9;1
196109;23.2;1
196110;15.4;1
196111;9.2;1
196112;7.3;1
196201;7.5;1
196202;7.8;1
196203;8;1
196204;13.6;1
196205;15.5;1
196206;21.5;1
196207;22.1;1
196208;23.1;1
196209;19.7;1
196210;16.1;1
196211;9.5;1
196212;5.7;1
196301;1.2;1
196302;3.3;1
196303;10.6;1
196304;13.8;1
196305;17;1
196306;19.8;1
196307;22.8;1
196308;18.5;1
196309;19.3;1
196310;14.9;1
196311;12;1
196312;4.9;1
196401;4.5;1
196402;8.1;1
196403;9.1;1
196404;13.4;1
196405;19.6;1
196406;20.4;1
196407;24.1;1
196408;23.6;1
196409;22.1;1
196410;13.3;1
196411;9.9;1
196412;7.1;1
196501;6.5;1
196502;5.4;1
196503;11;1
196504;12.9;1
196505;17;1
196506;20.6;1
196507;20.2;1
196508;20.2;1
196509;16.9;1
196510;16.1;1
196511;9.3;1
196512;9.2;1
196601;5.9;1
196602;10.7;1
196603;11.3;1
196604;14.7;1
196605;16.6;1
196606;21.9;1
196607;20.6;1
196608;21.2;1
196609;20.8;1
196610;14.6;1
196611;8.1;1
196612;8.7;1
196701;7.1;1
196702;9.5;1
196703;11.8;1
196704;13.6;1
196705;16.8;1
196706;21.2;1
196707;24.6;1
196708;21.9;1
196709;18.3;1
196710;16.1;1
196711;9.7;1
196712;7.1;1
196801;7.9;1
196802;7;1
196803;11.3;1
196804;14.9;1
196805;15.9;1
196806;20;1
196807;22;1
196808;20.9;1
196809;19;1
196810;16.8;1
196811;9.7;1
196812;5.2;1
196901;8.2;1
196902;6.9;1
196903;10.7;1
196904;14.9;1
196905;17.4;1
196906;20.5;1
196907;24.7;1
196908;22.8;1
196909;20.3;1
196910;18.7;1
196911;10.4;1
196912;5.3;1
197001;7;1
197002;7.6;1
197003;8.4;1
197004;11.3;1
197005;18.9;1
197006;21.7;1
197007;20.7;1
197008;21.6;1
197009;20.2;1
197010;15;1
197011;12.6;1
197012;5.2;1
197101;7.1;1
197102;8.1;1
197103;8.6;1
197104;15.1;1
197105;17.9;1
197106;18.2;1
197107;24.5;1
197108;21.1;1
197109;20.7;1
197110;17;1
197111;10.5;1
197112;7.4;1
197201;6.4;1
197202;8.6;1
197203;13.4;1
197204;12.7;1
197205;15.8;1
197206;17.5;1
197207;22.3;1
197208;20.7;1
197209;17.6;1
197210;15.3;1
197211;10.9;1
197212;8.5;1
197301;6.3;1
197302;7.2;1
197303;11.8;1
197304;12.6;1
197305;17.4;1
197306;21.5;1
197307;21.5;1
197308;24.7;1
197309;21.4;1
197310;14.4;1
197311;10.8;1
197312;7.4;1
197401;9.3;1
197402;9.8;1
197403;11.5;1
197404;15.1;1
197405;16.5;1
197406;21;1
197407;21.8;1
197408;23;1
197409;17.8;1
197410;11.5;1
