# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 64320003
# NOM_USUEL= LARUNS-HOURAT
# LATITUDE (°) = 42.984
# LONGITUDE(°)= -0.429
# ALTITUDE (m) = 522
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX164320003
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195501 202212
# Date(s) de rupture(s) d'homogénéité : 199712 200512 201012 201712
#     Periode homogénéisée  195501 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;8.2;1
195502;6.4;1
195503;11.7;1
195504;17.6;1
195505;19.2;1
195506;21.9;1
195507;24.3;1
195508;27;1
195509;20.8;1
195510;16.7;1
195511;12.3;1
195512;10.4;1
195601;9.7;1
195602;2.2;1
195603;14.8;1
195604;14.1;1
195605;19.3;1
195606;20.1;1
195607;23.6;1
195608;22.7;1
195609;23.4;1
195610;16.4;1
195611;8.9;1
195612;8;1
195701;7;1
195702;13.9;1
195703;19.8;1
195704;14;1
195705;16.9;1
195706;21.8;1
195707;24.4;1
195708;24;1
195709;21.8;1
195710;17.5;1
195711;9.6;1
195712;7.7;1
195801;9.2;1
195802;13;1
195803;11.4;1
195804;12.9;1
195805;21.2;1
195806;22;1
195807;24;1
195808;24.1;1
195809;25.2;1
195810;16.2;1
195811;10.7;1
195812;11.1;1
195901;11;1
195902;11.6;1
195903;14.6;1
195904;16.3;1
195905;18.1;1
195906;21.4;1
195907;24.6;1
195908;22.5;1
195909;21.1;1
195910;17.3;1
195911;12.1;1
195912;10.4;1
196001;8.5;1
196002;12.5;1
196003;14.8;1
196004;14.9;1
196005;20.8;1
196006;21.5;1
196007;20.8;1
196008;23;1
196009;19.8;1
196010;15.2;1
196011;14;1
196012;6.4;1
196101;7.9;1
196102;14.9;1
196103;16.7;1
196104;17.8;1
196105;19.1;1
196106;21;1
196107;22.5;1
196108;22.3;1
196109;24.8;1
196110;17.6;1
196111;11.5;1
196112;11.9;1
196201;10.3;1
196202;8.5;1
196203;11;1
196204;15.1;1
196205;17.2;1
196206;21.8;1
196207;23.7;1
196208;25;1
196209;24;1
196210;18.7;1
196211;8.9;1
196212;6.3;1
196301;7.4;1
196302;7.1;1
196303;13.5;1
196304;14.7;1
196305;16.6;1
196306;21.5;1
196307;22.9;1
196308;20.1;1
196309;19.1;1
196310;18.6;1
196311;15.8;1
196312;8.1;1
196401;8.7;1
196402;10.7;1
196403;12.6;1
196404;15.1;1
196405;21.4;1
196406;20.8;1
196407;24.9;1
196408;23.8;1
196409;25.9;1
196410;14.8;1
196411;12;1
196412;8.1;1
196501;8.5;1
196502;6;1
196503;13.8;1
196504;12.3;1
196505;18.6;1
196506;21.1;1
196507;21.4;1
196508;22.2;1
196509;18.6;1
196510;18.6;1
196511;13.6;1
196512;11.5;1
196601;11.6;1
196602;14.8;1
196603;11.6;1
196604;16.7;1
196605;17.7;1
196606;21.8;1
196607;20.8;1
196608;22.3;1
196609;23.9;1
196610;16.8;1
196611;9.5;1
196612;9.3;1
196701;9.5;1
196702;12.3;1
196703;14.7;1
196704;13.9;1
196705;19;1
196706;20.4;1
196707;24.3;1
196708;22.4;1
196709;21.4;1
196710;20.4;1
196711;12.9;1
196712;6.2;1
196801;9;1
196802;11.3;1
196803;11.6;1
196804;16.7;1
196805;16.7;1
196806;21.1;1
196807;24.1;1
196808;21.4;1
196809;21;1
196810;21.9;1
196811;15.8;1
196812;9.3;1
196901;11.8;1
196902;7.9;1
196903;12.1;1
196904;13.9;1
196905;19.6;1
196906;19.3;1
196907;25;1
196908;22;1
196909;19.5;1
196910;18.8;1
196911;13.1;1
196912;7.2;1
197001;12;1
197002;9.4;1
197003;9.8;1
197004;12.8;1
197005;18.3;1
197006;22.7;1
197007;23.6;1
197008;23;1
197009;24.7;1
197010;17;1
197011;16.9;1
197012;7.4;1
197101;11.5;1
197102;9.7;1
197103;8.3;1
197104;16.7;1
197105;17.2;1
197106;19.8;1
197107;25.4;1
197108;23.5;1
197109;21.4;1
197110;19.5;1
197111;8.9;1
197112;9.5;1
197201;8.9;1
197202;11.5;1
197203;13.8;1
197204;12.5;1
197205;16.4;1
197206;18;1
197207;22.6;1
197208;21.2;1
197209;17.7;1
197210;18;1
197211;13.5;1
197212;11.1;1
197301;8.2;1
197302;7.4;1
197303;10.9;1
197304;13.8;1
197305;20.6;1
197306;21.4;1
197307;21.9;1
197308;24.9;1
197309;22.6;1
197310;17;1
197311;13.9;1
197312;8.1;1
197401;12.8;1
197402;9.5;1
197403;11.9;1
197404;13.9;1
197405;18.1;1
197406;21.8;1
197407;22.3;1
197408;23.4;1
197409;19.4;1
197410;11.3;1
197411;12.9;1
197412;10.7;1
197501;12.2;1
197502;13.2;1
197503;9.3;1
197504;14.1;1
197505;16.4;1
197506;20.3;1
197507;25.2;1
197508;24.1;1
197509;20.8;1
197510;18;1
197511;11.3;1
197512;6.7;1
197601;7.7;1
197602;11;1
197603;13.1;1
197604;13.3;1
