# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 82180001
# NOM_USUEL= SERIGNAC
# LATITUDE (°) = 43.932
# LONGITUDE(°)= 1.068
# ALTITUDE (m) = 151
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX182180001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196401 202212
# Date(s) de rupture(s) d'homogénéité : 197307 197712 199310 201811
#     Periode homogénéisée  196401 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196401;6.2;1
196402;10.4;1
196403;12.3;1
196404;16.4;1
196405;22.3;1
196406;24;1
196407;28.7;1
196408;27;1
196409;25.4;1
196410;15.6;1
196411;11.5;1
196412;8.1;1
196501;8.7;1
196502;7.4;1
196503;13.7;1
196504;14.4;1
196505;19.7;1
196506;24.1;1
196507;25.6;1
196508;25.7;1
196509;20.4;1
196510;19.9;1
196511;12.6;1
196512;10.8;1
196601;8.8;1
196602;13.9;1
196603;12.5;1
196604;17.7;1
196605;20.3;1
196606;23.9;1
196607;23.6;1
196608;25.1;1
196609;25.3;1
196610;17.5;1
196611;10.5;1
196612;9.7;1
196701;7.3;1
196702;11;1
196703;13.7;1
196704;16.4;1
196705;19.9;1
196706;23.5;1
196707;28.8;1
196708;26.4;1
196709;22.8;1
196710;21.6;1
196711;13.5;1
196712;5.6;1
196801;8.3;1
196802;10.4;1
196803;12.5;1
196804;16.9;1
196805;19.3;1
196806;23.1;1
196807;26.5;1
196808;24.8;1
196809;22;1
196810;20.6;1
196811;12.8;1
196812;8.4;1
196901;9.4;1
196902;8.4;1
196903;13;1
196904;15.5;1
196905;20.6;1
196906;21.9;1
196907;27.1;1
196908;25;1
196909;21.4;1
196910;19.5;1
196911;12.4;1
196912;6;1
197001;9.4;1
197002;9.8;1
197003;10.4;1
197004;14.3;1
197005;19.8;1
197006;25.1;1
197007;26.5;1
197008;25.7;1
197009;25.8;1
197010;17.6;1
197011;14.9;1
197012;6.1;1
197101;9.4;1
197102;9.5;1
197103;9.6;1
197104;18.2;1
197105;19.9;1
197106;21.4;1
197107;27.8;1
197108;26.1;1
197109;23.4;1
197110;20.4;1
197111;9.6;1
197112;9.1;1
197201;8.8;1
197202;11.6;1
197203;14.8;1
197204;14;1
197205;18.4;1
197206;20.8;1
197207;26.8;1
197208;24.4;1
197209;20.6;1
197210;18.5;1
197211;13.4;1
197212;10.2;1
197301;6.9;1
197302;7.5;1
197303;13;1
197304;14.9;1
197305;21.8;1
197306;23.6;1
197307;25.5;1
197308;28;1
197309;23.9;1
197310;17.1;1
197311;12.4;1
197312;7.7;1
197401;10.5;1
197402;9.8;1
197403;13.2;1
197404;15.2;1
197405;19.6;1
197406;24.3;1
197407;25.3;1
197408;26;1
197409;20.3;1
197410;12.8;1
197411;12.4;1
197412;10.5;1
197501;10.8;1
197502;13.2;1
197503;10.6;1
197504;15.6;1
197505;19.2;1
197506;22.9;1
197507;27.6;1
197508;27.1;1
197509;22.1;1
197510;17.9;1
197511;11.2;1
197512;6.2;1
197601;7.4;1
197602;11.3;1
197603;14.4;1
197604;15.4;1
197605;21.3;1
197606;29.1;1
197607;28.2;1
197608;27.3;1
197609;22;1
197610;17.3;1
197611;10.4;1
197612;9.2;1
197701;8.5;1
197702;13;1
197703;15.2;1
197704;15.3;1
197705;18.1;1
197706;21.4;1
197707;23.7;1
197708;23.7;1
197709;23.4;1
197710;20.2;1
197711;11.9;1
197712;11.1;1
197801;8;1
197802;10.7;1
197803;13.6;1
197804;14.1;1
197805;18.2;1
197806;22.6;1
197807;25.4;1
197808;26;1
197809;24;1
197810;18.3;1
197811;11.8;1
197812;10.6;1
197901;7.7;1
197902;9.6;1
197903;12.8;1
197904;13.7;1
197905;19;1
197906;22.4;1
197907;26.8;1
197908;24.4;1
197909;23.7;1
197910;18.6;1
197911;10.7;1
197912;10.2;1
198001;7.3;1
198002;11.7;1
198003;12.2;1
198004;15;1
198005;18;1
198006;21;1
198007;24.5;1
198008;26.4;1
198009;24.6;1
198010;16.6;1
198011;11.2;1
198012;7.2;1
198101;8.2;1
198102;8.5;1
198103;16.2;1
198104;17.5;1
198105;18.2;1
198106;24.1;1
198107;24.4;1
198108;27.1;1
198109;23;1
198110;17.7;1
198111;12.4;1
198112;10.4;1
198201;11.9;1
198202;11.5;1
198203;12.8;1
198204;17.7;1
198205;21.2;1
198206;26.1;1
198207;28.7;1
198208;24.6;1
198209;25.6;1
198210;17;1
198211;13.6;1
198212;9;1
198301;9.5;1
198302;8;1
198303;13;1
198304;16.4;1
198305;18.7;1
198306;24.7;1
198307;30.3;1
198308;26.5;1
198309;24.6;1
198310;18.6;1
198311;15.1;1
198312;9.4;1
198401;9.2;1
198402;8.7;1
198403;11.7;1
198404;18.5;1
198405;16.9;1
198406;23.2;1
198407;28.1;1
198408;25.6;1
198409;21.5;1
198410;18.2;1
198411;15.3;1
198412;8.5;1
198501;3.2;1
198502;13;1
198503;11.3;1
198504;17.6;1
198505;19.2;1
198506;23.2;1
198507;27.9;1
198508;26.6;1
198509;27.7;1
198510;21.5;1
198511;9.3;1
198512;8.3;1
198601;8.9;1
198602;6.8;1
198603;12.9;1
198604;12.6;1
198605;21.9;1
198606;23.9;1
198607;28.3;1
198608;26.4;1
198609;25;1
198610;20.4;1
