# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 1089001
# NOM_USUEL= AMBERIEU
# LATITUDE (°) = 45.977
# LONGITUDE(°)= 5.329
# ALTITUDE (m) = 250
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX201089001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 198612 200705 201812
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;6.6;1
195102;8.2;1
195103;10;1
195104;15.3;1
195105;17.2;1
195106;21.7;1
195107;24.2;1
195108;22.9;1
195109;22.2;1
195110;14.1;1
195111;12.5;1
195112;7.4;1
195201;3.4;1
195202;3.9;1
195203;13.6;1
195204;17.6;1
195205;20.4;1
195206;24.8;1
195207;29;1
195208;26.4;1
195209;18;1
195210;15;1
195211;8.1;1
195212;5.4;1
195301;-0.2;1
195302;4.6;1
195303;14.8;1
195304;16.6;1
195305;21.4;1
195306;20.4;1
195307;23.7;1
195308;25.6;1
195309;22.5;1
195310;16.2;1
195311;7.7;1
195312;9;1
195401;2.8;1
195402;4.6;1
195403;13;1
195404;13.2;1
195405;17.8;1
195406;23.2;1
195407;22.4;1
195408;22.7;1
195409;20.9;1
195410;16.1;1
195411;11.6;1
195412;6.7;1
195501;7.3;1
195502;7.1;1
195503;10.5;1
195504;17.2;1
195505;18.7;1
195506;22;1
195507;24.3;1
195508;25.4;1
195509;20.8;1
195510;13.7;1
195511;8.7;1
195512;8.1;1
195601;6.6;1
195602;-3.3;1
195603;11.7;1
195604;13;1
195605;19.9;1
195606;19.2;1
195607;22.8;1
195608;21.2;1
195609;22.4;1
195610;13.4;1
195611;5.6;1
195612;6.7;1
195701;3.5;1
195702;10.8;1
195703;15.9;1
195704;15.7;1
195705;16.6;1
195706;22.1;1
195707;24.4;1
195708;22.9;1
195709;20.6;1
195710;16.9;1
195711;7.7;1
195712;4.9;1
195801;6.6;1
195802;9.4;1
195803;9;1
195804;12.2;1
195805;21.1;1
195806;21.4;1
195807;24;1
195808;24.8;1
195809;22.6;1
195810;13.7;1
195811;6.1;1
195812;6.5;1
195901;6.2;1
195902;8.2;1
195903;14.1;1
195904;15.6;1
195905;19.9;1
195906;24.3;1
195907;28.6;1
195908;25.7;1
195909;23.5;1
195910;17;1
195911;9.1;1
195912;8.5;1
196001;4.4;1
196002;10.2;1
196003;13;1
196004;14.7;1
196005;22.2;1
196006;24.2;1
196007;22.3;1
196008;22.7;1
196009;18.7;1
196010;15.2;1
196011;11.5;1
196012;3.6;1
196101;5.8;1
196102;11.9;1
196103;14.5;1
196104;18.3;1
196105;17.8;1
196106;23;1
196107;24.4;1
196108;24.5;1
196109;26.7;1
196110;16.6;1
196111;8;1
196112;6.9;1
196201;7.4;1
196202;5.3;1
196203;8.5;1
196204;14.7;1
196205;17.4;1
196206;22.3;1
196207;25.5;1
196208;27.5;1
196209;21.5;1
196210;14.6;1
196211;7;1
196212;1.3;1
196301;-0.7;1
196302;1.7;1
196303;11.8;1
196304;15.3;1
196305;17.9;1
196306;21.7;1
196307;25.3;1
196308;22.1;1
196309;19.8;1
