# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 2320001
# NOM_USUEL= ST QUENTIN
# LATITUDE (°) = 49.818
# LONGITUDE(°)= 3.206
# ALTITUDE (m) = 98
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX202320001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195901 202212
# Date(s) de rupture(s) d'homogénéité : 196712 200612
#     Periode homogénéisée  195901 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;4.7;1
195902;6.3;1
195903;12.3;1
195904;14.5;1
195905;19;1
195906;22.4;1
195907;26.2;1
195908;24.4;1
195909;24;1
195910;17.1;1
195911;8.3;1
195912;7.5;1
196001;5.3;1
196002;7.2;1
196003;11.2;1
196004;13.9;1
196005;19.9;1
196006;21.6;1
196007;20.5;1
196008;21;1
196009;18.4;1
196010;13.9;1
196011;10.5;1
196012;4.9;1
196101;4.5;1
196102;10.8;1
196103;12.9;1
196104;16.1;1
196105;17;1
196106;21.6;1
196107;21.7;1
196108;22.2;1
196109;23.2;1
196110;15.3;1
196111;7.8;1
196112;6.2;1
196201;6.4;1
196202;6.2;1
196203;6.6;1
196204;12.8;1
196205;15;1
196206;20.5;1
196207;21.2;1
196208;21.5;1
196209;18.7;1
196210;15.4;1
196211;7;1
196212;3.7;1
196301;-1.8;1
196302;1.2;1
196303;10.3;1
196304;13.9;1
196305;16;1
196306;20.2;1
196307;22.7;1
196308;19.8;1
196309;18.6;1
196310;13.7;1
196311;12;1
196312;1.8;1
196401;2.5;1
196402;8;1
196403;7.1;1
196404;13.8;1
196405;20.5;1
196406;21.5;1
196407;24.5;1
196408;23.1;1
196409;21.5;1
196410;12.9;1
196411;9.4;1
196412;4.5;1
196501;4.9;1
196502;3.6;1
196503;9.9;1
196504;12.9;1
196505;17;1
196506;20.6;1
196507;19.7;1
196508;21.5;1
196509;17.6;1
196510;15.6;1
