# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 7010001
# NOM_USUEL= ANNONAY
# LATITUDE (°) = 45.246
# LONGITUDE(°)= 4.671
# ALTITUDE (m) = 336
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX207010001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196301 202312
# Date(s) de rupture(s) d'homogénéité : 197306 199812 201002 201810
#     Periode homogénéisée  196301 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;2;1
196302;4.4;1
196303;12.4;1
196304;17.7;1
196305;19.9;1
196306;21.4;1
196307;25.4;1
196308;24.3;1
196309;20.6;1
196310;16.8;1
196311;13.9;1
196312;4.7;1
196401;4.4;1
196402;10.2;1
196403;10.7;1
196404;16;1
196405;21.1;1
196406;24.6;1
196407;28.9;1
196408;26.8;1
196409;22.6;1
196410;14.2;1
196411;11.1;1
196412;6.4;1
196501;7.8;1
196502;5.4;1
196503;12.9;1
196504;15;1
196505;20.5;1
196506;25.3;1
196507;25.4;1
196508;25.7;1
196509;20.4;1
196510;19.4;1
196511;12.4;1
196512;9.3;1
196601;7.2;1
196602;13;1
196603;11.7;1
196604;18.1;1
196605;20.6;1
196606;25.5;1
196607;24.8;1
196608;25.8;1
196609;26.4;1
196610;19.4;1
196611;8.3;1
196612;8.2;1
196701;6.9;1
196702;10.5;1
196703;13.4;1
196704;15.9;1
196705;20.4;1
196706;23.1;1
196707;29.6;1
196708;26.5;1
196709;22;1
196710;21;1
196711;12.6;1
196712;4.9;1
196801;6.3;1
196802;9.6;1
196803;13.4;1
196804;17.7;1
196805;18;1
196806;23.4;1
196807;26.8;1
196808;23.4;1
196809;20.8;1
196810;19.5;1
196811;10.8;1
196812;5.9;1
196901;9.2;1
196902;7;1
196903;11.5;1
196904;15.7;1
196905;20.8;1
196906;20.9;1
196907;26.6;1
196908;25.3;1
196909;22.9;1
196910;18.9;1
196911;12.5;1
196912;2.8;1
197001;9.3;1
197002;8.5;1
197003;8.5;1
197004;14;1
197005;19.5;1
197006;25;1
197007;26.2;1
197008;27.2;1
197009;24.7;1
197010;16.2;1
197011;14.2;1
197012;5.3;1
197101;6.3;1
197102;8.3;1
197103;7.8;1
197104;18.3;1
197105;21.4;1
197106;23;1
197107;28.9;1
197108;27.9;1
197109;22.6;1
197110;19.4;1
197111;9;1
197112;7.5;1
197201;7.3;1
197202;10.4;1
197203;14.1;1
197204;14.5;1
197205;19.3;1
197206;22.3;1
197207;25.6;1
197208;24.9;1
197209;19.4;1
197210;17.2;1
197211;13.1;1
197212;7.7;1
197301;5.3;1
197302;6.6;1
197303;11.2;1
197304;13.3;1
197305;21.7;1
197306;24.1;1
197307;25.1;1
197308;26.8;1
197309;23.7;1
197310;16.5;1
197311;11.9;1
197312;7.5;1
197401;10.6;1
197402;8.8;1
197403;13;1
197404;15.9;1
197405;19.3;1
197406;22.7;1
197407;26.5;1
197408;26.3;1
197409;20.3;1
197410;12;1
197411;11.8;1
197412;11.1;1
197501;10;1
197502;10.8;1
197503;10.1;1
197504;15.7;1
197505;18.8;1
197506;22.1;1
197507;26.3;1
197508;26.4;1
197509;22.6;1
197510;16.2;1
197511;10.8;1
197512;6.8;1
197601;7.8;1
197602;9.4;1
197603;12.7;1
197604;16.4;1
197605;22.3;1
197606;28;1
197607;27.8;1
197608;25.3;1
197609;20.5;1
197610;17.3;1
197611;10.9;1
197612;7.6;1
197701;8.1;1
197702;11.3;1
197703;14.1;1
197704;15.1;1
197705;18.6;1
197706;22.2;1
197707;26.3;1
197708;24;1
197709;21.9;1
197710;19.5;1
197711;10.8;1
197712;9.3;1
197801;6.4;1
197802;8.2;1
197803;12.4;1
197804;13.1;1
197805;18.1;1
197806;22.8;1
197807;26.2;1
197808;25.4;1
197809;23.6;1
197810;18.1;1
197811;10.9;1
197812;10.5;1
197901;5.3;1
197902;9.2;1
197903;13;1
197904;14.1;1
197905;20.5;1
197906;24.5;1
197907;26.8;1
197908;25.2;1
197909;23.6;1
197910;18.6;1
197911;10.4;1
197912;9.8;1
198001;6.2;1
198002;11.7;1
198003;11.3;1
198004;13.7;1
198005;18.1;1
198006;22.2;1
198007;26.2;1
198008;27.9;1
198009;24.4;1
198010;16.6;1
198011;10.4;1
198012;5.3;1
198101;5.6;1
198102;6.3;1
198103;15.4;1
198104;17.4;1
198105;19;1
198106;23.7;1
198107;24.6;1
198108;27.7;1
198109;22.6;1
198110;18;1
198111;11.8;1
