# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 11012001
# NOM_USUEL= ARGELIERS
# LATITUDE (°) = 43.308
# LONGITUDE(°)= 2.912
# ALTITUDE (m) = 31
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX211012001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195101 202312
# Date(s) de rupture(s) d'homogénéité : 195512 196812 198012 199612 200606 202010
#     Periode homogénéisée  195101 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;12.3;1
195102;12.7;1
195103;14.4;1
195104;18.5;1
195105;19.2;1
195106;26.9;1
195107;30.4;1
195108;27.5;1
195109;26.5;1
195110;18.9;1
195111;16.8;1
195112;12.8;1
195201;9.9;1
195202;11;1
195203;17.5;1
195204;19.9;1
195205;25.7;1
195206;30.3;1
195207;32.1;1
195208;29.4;1
195209;24.3;1
195210;20.1;1
195211;12.9;1
195212;11.3;1
195301;8.8;1
195302;11;1
195303;16.3;1
195304;18.1;1
195305;24.6;1
195306;23.8;1
195307;29.6;1
195308;31;1
195309;26.2;1
195310;20.4;1
195311;16.7;1
195312;13.8;1
195401;9.1;1
195402;9.4;1
195403;15.2;1
195404;16.7;1
195405;20.7;1
195406;27;1
195407;27.2;1
195408;26.6;1
195409;25.5;1
195410;21.7;1
195411;17.4;1
195412;13.5;1
195501;13.6;1
195502;12.2;1
195503;15.5;1
195504;22.7;1
195505;23.6;1
195506;26.1;1
195507;30.6;1
195508;30.2;1
195509;25.8;1
195510;20.2;1
195511;14;1
195512;13.6;1
195601;12.5;1
195602;4.5;1
195603;14.2;1
195604;16.6;1
195605;23.3;1
195606;24.6;1
195607;28.7;1
195608;27.6;1
195609;26.7;1
195610;19.4;1
195611;13;1
195612;12.5;1
195701;11.4;1
195702;15.2;1
195703;18.9;1
195704;17.7;1
195705;20.1;1
195706;23.8;1
195707;28.4;1
195708;28.1;1
195709;26;1
195710;21.1;1
195711;14.2;1
195712;11.5;1
195801;11.3;1
195802;14.9;1
195803;14.7;1
195804;16.7;1
195805;22.7;1
195806;25;1
195807;28.1;1
195808;29.3;1
195809;28.4;1
195810;21.8;1
195811;15;1
195812;12.7;1
195901;11.6;1
195902;13.8;1
195903;15.9;1
195904;17.7;1
195905;21.3;1
195906;27.1;1
195907;31.3;1
195908;28.7;1
195909;24.4;1
195910;18.5;1
195911;14.9;1
195912;12.7;1
196001;10.8;1
196002;13.8;1
196003;15.1;1
196004;18.3;1
196005;25.4;1
196006;28.5;1
196007;28.7;1
196008;26.1;1
196009;24.6;1
196010;19.2;1
196011;16.6;1
196012;9.1;1
196101;11;1
196102;15.7;1
196103;19.5;1
196104;20.8;1
196105;23.6;1
196106;28.8;1
196107;30;1
