# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 12253001
# NOM_USUEL= SALLES CURAN
# LATITUDE (°) = 44.152
# LONGITUDE(°)= 2.866
# ALTITUDE (m) = 959
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX212253001
# Amplitude minimale détectable de la série = 0.22
# Période homogénéisée : 195501 202312
# Date(s) de rupture(s) d'homogénéité : 198006 199012 199412 202010
#     Periode homogénéisée  195501 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;6.2;1
195502;4;1
195503;6.7;1
195504;14.3;1
195505;15.7;1
195506;19.5;1
195507;22.6;1
195508;23.1;1
195509;17.8;1
195510;12.4;1
195511;7.7;1
195512;8.3;1
195601;5.2;1
195602;-4.5;1
195603;6.6;1
195604;10.2;1
195605;16.8;1
195606;15.1;1
195607;20.4;1
195608;18.9;1
195609;18.6;1
195610;11.1;1
195611;5.4;1
195612;4.6;1
195701;3.7;1
195702;5.9;1
195703;10.9;1
195704;10.7;1
195705;12.1;1
195706;17;1
195707;19.3;1
195708;20.2;1
195709;17.3;1
195710;13.7;1
195711;8.2;1
195712;4.6;1
195801;2.5;1
195802;7.5;1
195803;5.6;1
195804;8.3;1
195805;17.7;1
195806;17.8;1
195807;19.7;1
195808;21;1
195809;20.8;1
195810;12.7;1
195811;7.4;1
195812;5.5;1
195901;3.9;1
195902;8;1
195903;8.6;1
195904;10.9;1
195905;14.7;1
195906;19.5;1
195907;23.9;1
195908;21.2;1
195909;18.2;1
195910;12;1
195911;7;1
195912;5.2;1
196001;4.7;1
196002;6.1;1
196003;7.6;1
196004;10.8;1
196005;17.4;1
196006;20.5;1
196007;19;1
196008;18.4;1
196009;16.6;1
196010;10.7;1
196011;8.4;1
196012;2.2;1
196101;2.7;1
196102;8.2;1
196103;11.6;1
196104;13.1;1
196105;14.5;1
196106;19.1;1
196107;20.5;1
196108;21.1;1
196109;22.3;1
196110;13.5;1
196111;7.1;1
196112;9;1
196201;5;1
196202;3.8;1
196203;4.4;1
196204;10.8;1
196205;13.9;1
196206;19.7;1
196207;22;1
196208;24.2;1
196209;20.1;1
196210;13.9;1
196211;5.3;1
196212;3.4;1
196301;1.4;1
196302;0.6;1
196303;6.4;1
196304;10.5;1
196305;14.1;1
196306;18.1;1
196307;22.4;1
196308;18.4;1
196309;15.6;1
196310;13.9;1
196311;9.6;1
196312;4.4;1
196401;4.1;1
196402;5.8;1
196403;5.9;1
196404;9.8;1
196405;17;1
196406;19.8;1
196407;23.9;1
196408;20.9;1
196409;19;1
196410;10.5;1
196411;8.6;1
196412;3.8;1
196501;3;1
196502;1.5;1
196503;7.8;1
196504;8.5;1
196505;15.2;1
196506;19.5;1
196507;19.8;1
196508;20.2;1
196509;14.4;1
196510;13.9;1
196511;6.6;1
196512;5.6;1
196601;3.4;1
196602;8.1;1
196603;6.6;1
196604;12.2;1
196605;15.4;1
196606;18.9;1
196607;18.5;1
196608;19.9;1
196609;20.4;1
196610;12.6;1
196611;4;1
196612;4.3;1
196701;3.3;1
196702;6.2;1
196703;7.9;1
196704;11.4;1
196705;14.1;1
196706;18;1
196707;24.3;1
196708;21.9;1
196709;16.7;1
196710;14.9;1
196711;9.3;1
196712;2.6;1
196801;3.6;1
196802;5.3;1
196803;7.8;1
196804;11.7;1
196805;13.7;1
196806;18.5;1
196807;21.1;1
196808;18.9;1
196809;16;1
196810;16.9;1
196811;8.4;1
196812;3.6;1
196901;5.3;1
196902;2.3;1
196903;6.8;1
196904;9.8;1
196905;14.3;1
196906;17.2;1
196907;22;1
196908;19.8;1
196909;17.5;1
196910;15.8;1
196911;8.5;1
196912;1;1
197001;5.8;1
197002;3.3;1
197003;3.1;1
197004;7.1;1
197005;12.5;1
197006;19.2;1
197007;21.4;1
197008;21.5;1
197009;20.9;1
197010;13.7;1
197011;10;1
197012;3.8;1
197101;4;1
197102;4;1
197103;2.7;1
197104;12.9;1
197105;14.1;1
197106;16.9;1
197107;22.8;1
197108;21.5;1
197109;18.3;1
197110;15;1
197111;4.7;1
197112;7.1;1
197201;2.6;1
197202;4.8;1
197203;7.5;1
197204;8.3;1
197205;12;1
197206;15.7;1
197207;21.1;1
197208;19.1;1
197209;14.8;1
197210;12.5;1
197211;9;1
197212;6.6;1
197301;4.1;1
197302;2.5;1
197303;6.2;1
197304;8.4;1
197305;15.1;1
197306;19.1;1
197307;20.6;1
197308;23.5;1
197309;19.6;1
197310;12.7;1
197311;8.7;1
197312;3.8;1
197401;6.7;1
197402;3.4;1
197403;6.5;1
197404;9.3;1
197405;13.6;1
197406;17.8;1
197407;20.6;1
197408;21.7;1
197409;15.4;1
197410;6.1;1
197411;7;1
197412;5.9;1
197501;6.5;1
197502;6.5;1
197503;3.4;1
197504;9.9;1
197505;13.2;1
197506;17.8;1
197507;22.3;1
197508;22.1;1
197509;17.3;1
197510;12.3;1
197511;6.5;1
197512;4.6;1
197601;4;1
197602;5.7;1
197603;8.6;1
197604;9.3;1
197605;15.6;1
197606;23.6;1
197607;21.8;1
197608;22.2;1
197609;15.5;1
197610;10.8;1
197611;5.6;1
197612;4.6;1
197701;3.8;1
197702;6.8;1
197703;8.8;1
197704;9.9;1
197705;11.6;1
197706;15.8;1
197707;19.6;1
197708;18.5;1
197709;18.3;1
197710;14;1
197711;7.3;1
197712;6.5;1
197801;2.4;1
197802;3.8;1
197803;6.6;1
197804;7.4;1
197805;11.9;1
197806;16.9;1
197807;20.4;1
197808;22;1
197809;19.4;1
197810;13.5;1
197811;8.8;1
197812;6.2;1
197901;2.1;1
197902;4.4;1
197903;6.3;1
197904;7.6;1
197905;14;1
197906;19.1;1
197907;22.8;1
197908;19.7;1
197909;18.8;1
197910;13;1
197911;7.4;1
197912;6.1;1
198001;3.3;1
198002;7.3;1
198003;5.9;1
198004;9.2;1
198005;12.7;1
198006;16;1
198007;19.2;1
198008;21.2;1
198009;19.1;1
198010;12;1
198011;6.8;1
198012;2.5;1
198101;3.4;1
198102;3.1;1
198103;8.9;1
198104;12.7;1
198105;12.8;1
198106;19.4;1
198107;19.3;1
198108;23.5;1
198109;18.7;1
198110;11.9;1
198111;11.1;1
198112;4.5;1
198201;5.7;1
198202;6;1
198203;6.1;1
198204;12.2;1
198205;15.5;1
198206;20.1;1
198207;24.8;1
198208;19.9;1
198209;18.4;1
198210;12.1;1
198211;7.5;1
198212;4.6;1
198301;6.7;1
198302;1.7;1
198303;7.7;1
198304;9.1;1
198305;12.9;1
198306;19;1
198307;26.9;1
198308;22.6;1
198309;19.3;1
198310;14.4;1
198311;9.2;1
198312;6.5;1
198401;3.7;1
198402;2.9;1
198403;5;1
198404;13.5;1
198405;11.1;1
198406;18.4;1
198407;22.5;1
198408;19;1
198409;15.1;1
198410;13.3;1
198411;9.2;1
198412;5.6;1
198501;-1.5;1
198502;7.2;1
198503;4.5;1
198504;11.4;1
198505;12.9;1
198506;17.5;1
198507;23.8;1
198508;21.9;1
198509;23.2;1
198510;16;1
198511;4;1
198512;6.7;1
198601;2;1
198602;1.2;1
198603;6.6;1
198604;6.3;1
198605;17.2;1
198606;20;1
198607;23.5;1
198608;22.1;1
198609;19.5;1
198610;14.5;1
198611;8.8;1
198612;5.9;1
198701;0.9;1
198702;3.4;1
198703;5;1
198704;12.8;1
198705;12.4;1
198706;17.1;1
198707;20.7;1
198708;23.3;1
198709;23.2;1
198710;12.7;1
198711;6.9;1
198712;8.5;1
198801;5.6;1
198802;4.6;1
198803;5.5;1
198804;11;1
198805;14.4;1
198806;18.4;1
198807;22.8;1
198808;22.9;1
198809;18.9;1
198810;14.6;1
198811;8.3;1
198812;6.6;1
198901;6.8;1
198902;8;1
198903;10.8;1
198904;8.3;1
198905;18.4;1
198906;19.9;1
198907;23.9;1
198908;23.8;1
198909;18.1;1
198910;13.8;1
198911;8.7;1
198912;8.6;1
199001;7.6;1
199002;9.2;1
199003;11.7;1
199004;8.7;1
199005;18.2;1
199006;17.8;1
199007;24.2;1
199008;24;1
199009;19.7;1
199010;14.5;1
199011;6.8;1
199012;2.8;1
199101;5;1
199102;4.3;1
199103;8.5;1
199104;10.5;1
199105;12.7;1
199106;17.4;1
199107;23.6;1
199108;26.1;1
199109;20.1;1
199110;11.4;1
199111;6.6;1
199112;5.7;1
199201;4.6;1
199202;6.5;1
199203;8;1
199204;11.8;1
199205;16.9;1
199206;16.3;1
199207;22.5;1
199208;24.3;1
199209;17.4;1
199210;9.3;1
199211;9.9;1
199212;6.6;1
199301;6.2;1
199302;5.8;1
199303;8.3;1
199304;10.2;1
199305;16.1;1
199306;19.7;1
199307;20.5;1
199308;23.2;1
199309;16.5;1
199310;12.2;1
199311;7.2;1
199312;6.2;1
199401;4.4;1
199402;5;1
199403;11;1
199404;8.1;1
199405;16.2;1
199406;20.1;1
199407;26.1;1
199408;24.6;1
199409;15.6;1
199410;13.8;1
199411;10.9;1
199412;5.9;1
199501;4;1
199502;8;1
199503;6.9;1
199504;12.9;1
199505;15.8;1
199506;19.2;1
199507;24.3;1
199508;22.5;1
199509;15;1
199510;16.1;1
199511;8.5;1
199512;6.3;1
199601;6.4;1
199602;1.8;1
199603;7.5;1
199604;12;1
199605;14.6;1
