# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 20342001
# NOM_USUEL= SOLENZARA
# LATITUDE (°) = 41.922
# LONGITUDE(°)= 9.401
# ALTITUDE (m) = 12
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX220342001
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 196201 202312
# Date(s) de rupture(s) d'homogénéité : 198312 199212 200112
#     Periode homogénéisée  196201 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;14.8;1
196202;12.3;1
196203;13.1;1
196204;17.7;1
196205;20;1
196206;23.7;1
196207;27.6;1
196208;28.4;1
196209;26;1
196210;20.7;1
196211;15.3;1
196212;12.6;1
196301;9.4;1
196302;10.9;1
196303;14.6;1
196304;18;1
196305;21.5;1
196306;24.5;1
196307;28.8;1
196308;28.2;1
196309;24.7;1
196310;20.8;1
196311;19.6;1
196312;13.1;1
196401;12.8;1
196402;13.8;1
196403;15.1;1
196404;17.9;1
196405;22.3;1
196406;26;1
196407;29.1;1
196408;27.9;1
196409;25.6;1
196410;20.2;1
196411;16.9;1
196412;13.5;1
196501;12.7;1
196502;10.4;1
196503;14.8;1
196504;17.1;1
196505;19.9;1
196506;24.7;1
196507;27.6;1
196508;27.2;1
196509;23.8;1
196510;20.1;1
196511;18;1
196512;15.4;1
196601;12.3;1
196602;15.5;1
196603;14.2;1
196604;18.7;1
196605;20.9;1
196606;25.5;1
196607;26.5;1
196608;26.9;1
196609;24.5;1
196610;21.7;1
196611;15.1;1
196612;13.5;1
196701;12.3;1
196702;13.1;1
196703;16.1;1
196704;17.4;1
196705;21;1
196706;23.4;1
196707;28.6;1
196708;28.7;1
196709;25.3;1
196710;22.4;1
196711;17.8;1
196712;13.3;1
196801;12.2;1
196802;14.1;1
196803;15.8;1
196804;18;1
196805;21.5;1
196806;24.3;1
196807;28.4;1
196808;27;1
196809;25.3;1
196810;22;1
196811;16.4;1
196812;12.6;1
196901;12.9;1
196902;12.1;1
196903;13.9;1
196904;17;1
196905;21.3;1
196906;23.9;1
196907;27.4;1
196908;27.8;1
196909;24.4;1
196910;21.7;1
196911;18.7;1
196912;11.7;1
197001;14.2;1
197002;14.1;1
197003;13.9;1
197004;17.8;1
197005;20.7;1
197006;25.2;1
197007;27.8;1
197008;28.2;1
197009;26.3;1
197010;20.8;1
197011;17.9;1
197012;13;1
197101;13.2;1
197102;13.7;1
197103;13;1
197104;17.8;1
197105;21.7;1
197106;24.6;1
197107;28.8;1
197108;29.7;1
197109;24.5;1
197110;20.4;1
197111;16.2;1
197112;13.5;1
197201;12.2;1
197202;13.7;1
197203;16.2;1
197204;17;1
197205;20.2;1
197206;24.2;1
197207;27.4;1
197208;26.9;1
197209;22.6;1
197210;19.1;1
197211;18.3;1
197212;13.7;1
197301;12.7;1
197302;12.6;1
197303;13.3;1
197304;16.1;1
197305;21;1
197306;25.8;1
197307;28.8;1
197308;28.4;1
197309;26.3;1
197310;21.9;1
197311;16.9;1
197312;13.2;1
197401;14.1;1
197402;13.9;1
197403;14.9;1
197404;16.4;1
197405;20.7;1
197406;25.6;1
197407;27;1
197408;28.7;1
197409;25.5;1
197410;18.3;1
197411;15.9;1
197412;14.7;1
197501;14.3;1
197502;12.8;1
197503;14.6;1
197504;17.9;1
197505;20.7;1
197506;24.1;1
197507;28;1
197508;27.7;1
197509;26.3;1
197510;21;1
197511;16;1
197512;14.2;1
197601;13.5;1
197602;13.6;1
197603;14.3;1
197604;16.5;1
197605;21.6;1
197606;25.7;1
197607;27.9;1
197608;26.7;1
197609;23.8;1
197610;20.8;1
197611;15.8;1
197612;14.3;1
197701;13.9;1
197702;16.1;1
197703;16.8;1
197704;17.5;1
197705;20.9;1
197706;23.8;1
197707;27.4;1
197708;27;1
197709;23.8;1
197710;21.9;1
197711;17.7;1
197712;14.4;1
197801;13;1
197802;14.1;1
197803;16.1;1
197804;16;1
197805;19.6;1
197806;25.1;1
197807;27;1
197808;27.5;1
197809;25.1;1
197810;20.2;1
197811;16.4;1
197812;15.4;1
197901;12.1;1
197902;13.3;1
197903;16.5;1
197904;17.1;1
197905;22.1;1
197906;26.3;1
197907;27.4;1
197908;27.7;1
197909;24.6;1
197910;20.7;1
197911;15.8;1
197912;15.4;1
198001;12.7;1
198002;14.2;1
198003;15.4;1
198004;15.9;1
198005;18.5;1
198006;24.1;1
198007;25.8;1
198008;28.2;1
198009;25.9;1
198010;21.3;1
198011;15.4;1
198012;12.3;1
198101;11.9;1
198102;12.1;1
198103;15.9;1
198104;18;1
198105;20.6;1
198106;25.5;1
198107;27.4;1
198108;28.7;1
198109;26.2;1
198110;22.7;1
198111;16.8;1
198112;16.1;1
198201;14.2;1
198202;12.8;1
198203;14.5;1
198204;16.5;1
198205;21.3;1
198206;26.2;1
198207;29.6;1
198208;28.5;1
198209;27.4;1
198210;21.9;1
198211;17.6;1
198212;14.8;1
198301;14.4;1
198302;12;1
198303;15.7;1
198304;18;1
198305;21.9;1
198306;25.3;1
198307;30.2;1
198308;27.9;1
198309;25.7;1
198310;21.3;1
198311;17.2;1
198312;13.7;1
198401;13.8;1
198402;11.8;1
198403;14;1
198404;16.5;1
198405;18.8;1
198406;23.1;1
198407;27.1;1
198408;27;1
198409;24.4;1
198410;20.9;1
198411;18.3;1
198412;13.8;1
198501;10.4;1
198502;13.4;1
198503;13.9;1
198504;18.9;1
198505;20.9;1
198506;25.3;1
198507;29;1
198508;29;1
198509;26.8;1
198510;21.8;1
198511;17.1;1
198512;15.9;1
198601;14.2;1
198602;12.3;1
198603;15.2;1
198604;17.1;1
198605;22.9;1
198606;24.2;1
198607;27.6;1
198608;29.1;1
198609;25.7;1
198610;22.8;1
198611;17.5;1
198612;14.7;1
198701;12.8;1
198702;13.1;1
198703;12.6;1
198704;17.8;1
198705;19.6;1
198706;24.7;1
198707;29.2;1
198708;29.3;1
198709;28.3;1
198710;22.6;1
198711;17.5;1
198712;14.2;1
198801;14.9;1
198802;14.4;1
198803;15.6;1
198804;17.4;1
198805;21.7;1
198806;24;1
198807;28.9;1
198808;29.5;1
198809;25.6;1
198810;23.1;1
198811;15.7;1
198812;13.9;1
198901;13.5;1
198902;14.6;1
198903;16.9;1
198904;17.4;1
198905;21.3;1
198906;25.7;1
198907;28.8;1
198908;29.4;1
198909;24.1;1
198910;20.8;1
198911;16.3;1
198912;15.1;1
199001;13.6;1
199002;17.7;1
199003;16.4;1
199004;17.9;1
199005;22.3;1
199006;25.5;1
199007;28.3;1
199008;28.9;1
199009;26.8;1
199010;22.5;1
199011;17;1
199012;11.5;1
199101;12.9;1
199102;12.4;1
199103;16.1;1
199104;16.6;1
199105;18.5;1
199106;24.5;1
199107;29.6;1
199108;29.3;1
199109;26.4;1
199110;20.1;1
199111;16.1;1
199112;12.4;1
199201;12.4;1
199202;13.5;1
199203;15.5;1
199204;17.3;1
199205;22.5;1
199206;24.8;1
199207;27.8;1
199208;30;1
199209;25.8;1
199210;20.9;1
199211;17.8;1
199212;13.4;1
199301;13;1
199302;12.6;1
199303;13.9;1
199304;17.4;1
199305;21.9;1
199306;27;1
199307;27.7;1
199308;29.6;1
199309;25.8;1
199310;21.5;1
199311;15.3;1
199312;15.5;1
199401;14.2;1
199402;13.2;1
199403;16.8;1
199404;17.6;1
199405;22.1;1
199406;25.3;1
199407;30.4;1
199408;31.3;1
199409;26.2;1
199410;21.3;1
199411;18.9;1
199412;15.2;1
199501;13.4;1
199502;16.4;1
199503;15.7;1
199504;17;1
199505;20.7;1
199506;24.1;1
199507;29.4;1
199508;28.3;1
199509;24.3;1
199510;22.3;1
199511;17;1
199512;14.2;1
199601;14.2;1
199602;13;1
199603;13.2;1
199604;17;1
199605;21.4;1
199606;25.7;1
199607;27.6;1
199608;28.4;1
199609;23.6;1
199610;19.9;1
199611;17.4;1
199612;13.3;1
199701;13.7;1
199702;15.4;1
