# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 29155005
# NOM_USUEL= OUESSANT-STIFF
# LATITUDE (°) = 48.473
# LONGITUDE(°)= -5.057
# ALTITUDE (m) = 64
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX229155005
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195201 202212
# Date(s) de rupture(s) d'homogénéité : 196805 197512 198612 199212 201312
#     Periode homogénéisée  195201 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;9;1
195202;8.7;1
195203;10.5;1
195204;12.7;1
195205;15.1;1
195206;16.4;1
195207;17.6;1
195208;18.1;1
195209;15;1
195210;13.3;1
195211;10.2;1
195212;9.3;1
195301;7.6;1
195302;7.7;1
195303;9.9;1
195304;11.2;1
195305;13.8;1
195306;14.9;1
195307;17.2;1
195308;18.5;1
195309;16.7;1
195310;14.6;1
195311;12.4;1
195312;12.2;1
195401;9.2;1
195402;8.6;1
195403;10.7;1
195404;11.2;1
195405;13.1;1
195406;15.4;1
195407;16.1;1
195408;16.6;1
195409;16.6;1
195410;15;1
195411;12.6;1
195412;10.9;1
195501;9;1
195502;8;1
195503;7.8;1
195504;11.8;1
195505;13.3;1
195506;16.6;1
195507;16.6;1
195508;19.7;1
195509;18.2;1
195510;13.7;1
195511;11.5;1
195512;11.7;1
195601;10;1
195602;5.5;1
195603;10.3;1
195604;10.6;1
195605;13.5;1
195606;14.9;1
195607;16.8;1
195608;16.3;1
195609;16.5;1
195610;14.5;1
195611;11.3;1
195612;10.8;1
195701;9.5;1
195702;10.6;1
195703;12.6;1
195704;11.6;1
195705;13;1
195706;16.4;1
195707;18.4;1
195708;18.5;1
195709;16.2;1
195710;14.6;1
195711;10.9;1
195712;9.7;1
195801;9.5;1
195802;10.5;1
195803;9.3;1
195804;10.9;1
195805;14.1;1
195806;15.2;1
195807;16.6;1
195808;17.5;1
195809;17.8;1
195810;13.8;1
195811;11.5;1
195812;10.5;1
195901;9.3;1
195902;10;1
195903;11.6;1
195904;12.4;1
195905;13.5;1
195906;16.1;1
195907;18.5;1
195908;18.2;1
195909;17.6;1
195910;16.3;1
195911;12;1
195912;10.8;1
196001;9.2;1
196002;9.2;1
196003;11;1
196004;11.7;1
196005;14.5;1
196006;16.8;1
196007;17.4;1
196008;17.9;1
196009;16.2;1
196010;14.4;1
196011;12.3;1
196012;9.5;1
196101;9.6;1
196102;10.7;1
196103;11.4;1
196104;13.3;1
196105;14;1
196106;16;1
196107;16.4;1
196108;18.1;1
196109;18;1
196110;14.9;1
196111;10.9;1
196112;9.2;1
196201;9.8;1
196202;8.5;1
196203;8;1
196204;10.5;1
196205;12.6;1
196206;15.4;1
196207;16.8;1
196208;17.1;1
196209;16.6;1
196210;14.6;1
196211;10.9;1
196212;8.8;1
196301;3.8;1
196302;6.4;1
196303;9.4;1
196304;10.8;1
196305;12.4;1
196306;15.2;1
196307;16.3;1
196308;16.5;1
196309;14.8;1
196310;14.2;1
196311;12.9;1
196312;8.4;1
196401;7.9;1
196402;8.9;1
196403;9;1
196404;11.2;1
196405;14.4;1
196406;16.2;1
196407;17.4;1
196408;17.3;1
196409;17.9;1
196410;13.3;1
196411;11.5;1
196412;9.9;1
196501;8.6;1
196502;6.7;1
196503;10.3;1
196504;11.8;1
196505;13.6;1
196506;15.3;1
196507;16.5;1
196508;17.5;1
196509;15.2;1
196510;15.2;1
196511;11;1
196512;10.9;1
196601;8.4;1
196602;10.9;1
196603;10.9;1
196604;12.8;1
196605;13.5;1
196606;16.2;1
196607;17.3;1
196608;17.5;1
196609;16.9;1
196610;14.8;1
196611;10.8;1
196612;10.6;1
196701;9.2;1
196702;9.5;1
196703;10.6;1
196704;10.6;1
196705;12.9;1
196706;15.2;1
196707;17.6;1
196708;18;1
196709;15.6;1
196710;14.3;1
196711;10.9;1
196712;9.6;1
196801;9.4;1
196802;8;1
196803;9.8;1
196804;11.3;1
196805;12.6;1
196806;15.1;1
196807;16.8;1
196808;17;1
196809;17;1
196810;15.8;1
196811;12.6;1
196812;10.8;1
196901;10.7;1
196902;8;1
196903;9.6;1
196904;11.3;1
196905;14;1
196906;15.6;1
196907;18.5;1
196908;18;1
196909;16;1
196910;16.4;1
196911;12;1
196912;10;1
197001;9.5;1
197002;9.5;1
197003;9.1;1
197004;10.2;1
197005;13.6;1
197006;17.2;1
197007;17.5;1
197008;17.3;1
197009;17.6;1
197010;14.2;1
197011;12.7;1
197012;9.1;1
197101;9.9;1
197102;9.1;1
197103;8.9;1
197104;10.9;1
197105;13;1
197106;15;1
197107;18.6;1
197108;18.2;1
197109;18;1
197110;16.2;1
197111;11.6;1
197112;10.1;1
197201;9.1;1
197202;9.3;1
197203;10.3;1
197204;10.8;1
197205;12.2;1
197206;13.3;1
197207;16.1;1
197208;16.5;1
197209;15.2;1
197210;13.8;1
197211;11.5;1
197212;10.5;1
197301;8.6;1
197302;9.1;1
197303;10;1
197304;10.4;1
197305;13.7;1
197306;15.8;1
197307;17.1;1
197308;18.5;1
197309;17.5;1
197310;13.8;1
197311;12.1;1
197312;10.5;1
197401;10.6;1
197402;9.8;1
197403;9.9;1
197404;11.1;1
197405;13.2;1
197406;15.9;1
197407;17.2;1
197408;17.3;1
197409;15.1;1
197410;11.8;1
197411;11.2;1
197412;10.9;1
197501;10.7;1
197502;10.5;1
197503;9.3;1
197504;11.2;1
197505;13.2;1
197506;16.6;1
197507;19.3;1
197508;19.6;1
197509;17.5;1
197510;14.9;1
197511;12.4;1
197512;9.5;1
197601;9.5;1
197602;9;1
197603;9.9;1
197604;10.5;1
197605;14.6;1
197606;19.4;1
197607;18.6;1
197608;17.5;1
197609;16.2;1
197610;14.3;1
197611;11.9;1
197612;8.8;1
197701;8.5;1
197702;10.2;1
197703;11;1
197704;11;1
197705;12.8;1
197706;14.2;1
197707;17.7;1
197708;17.9;1
197709;16.4;1
197710;15.9;1
197711;11.7;1
197712;10.3;1
197801;8.9;1
197802;8.8;1
197803;10.2;1
197804;10.6;1
197805;13.2;1
197806;15.8;1
197807;17.1;1
197808;17.6;1
197809;17.7;1
197810;15.2;1
197811;13.2;1
197812;10.8;1
197901;7.4;1
197902;8.3;1
197903;9.7;1
197904;11.5;1
197905;13;1
197906;16.4;1
197907;19.1;1
197908;18.4;1
197909;16.5;1
197910;15.6;1
197911;12.6;1
197912;10.9;1
198001;8.5;1
198002;10.6;1
198003;9.5;1
198004;11.5;1
198005;13.2;1
198006;16.5;1
198007;16.9;1
198008;18.5;1
198009;17.3;1
198010;13.6;1
198011;10.6;1
198012;10.3;1
198101;9.7;1
198102;8.3;1
198103;10.7;1
198104;10.9;1
198105;13.2;1
198106;15;1
198107;17.7;1
198108;17.7;1
198109;18.4;1
198110;13.7;1
198111;12.1;1
198112;10.1;1
198201;9.7;1
198202;9.8;1
198203;10.4;1
198204;11.1;1
198205;14.1;1
198206;16.8;1
198207;17.9;1
198208;18.9;1
198209;17.6;1
198210;14.1;1
198211;12.4;1
198212;10.3;1
198301;10.3;1
198302;7.3;1
198303;9.9;1
198304;10.8;1
198305;13.3;1
198306;15.8;1
198307;20;1
198308;18.4;1
198309;17.6;1
198310;14.8;1
198311;12.5;1
198312;10.8;1
198401;10;1
198402;8.7;1
198403;8.9;1
198404;12.2;1
198405;12.1;1
198406;15.5;1
198407;18.5;1
198408;19.9;1
198409;17.4;1
198410;14.5;1
198411;13;1
198412;11;1
198501;7.5;1
198502;8.3;1
198503;9.9;1
198504;12.3;1
198505;13.4;1
198506;15.9;1
198507;18.3;1
198508;17.9;1
198509;17.9;1
198510;15;1
198511;11.2;1
198512;11.6;1
198601;10.1;1
198602;4.5;1
198603;10.2;1
198604;9;1
198605;12.9;1
198606;15.2;1
198607;17.3;1
198608;16.1;1
198609;14.4;1
198610;14.5;1
198611;12.1;1
198612;10.6;1
198701;5.5;1
198702;8.6;1
198703;9.4;1
198704;12.9;1
198705;13;1
198706;15.5;1
198707;18;1
198708;18.6;1
198709;18.1;1
198710;14.8;1
198711;11.8;1
198712;10.4;1
198801;11.1;1
198802;10.1;1
198803;10.5;1
198804;12.2;1
198805;14.5;1
198806;16.2;1
198807;17.3;1
198808;18;1
198809;16.7;1
198810;14.9;1
198811;12.3;1
198812;11.7;1
198901;10.5;1
198902;10.9;1
198903;11.8;1
198904;11.5;1
198905;15.9;1
198906;16.9;1
198907;20;1
198908;19.8;1
198909;17.9;1
198910;15.6;1
198911;12.4;1
198912;10.8;1
199001;11;1
199002;11.9;1
199003;11.8;1
199004;11.8;1
199005;16.4;1
199006;16;1
199007;19.5;1
199008;20.5;1
199009;17.5;1
199010;15.6;1
199011;11.7;1
199012;9.6;1
199101;9;1
199102;7.6;1
199103;10.9;1
199104;11.3;1
199105;13;1
199106;14.7;1
199107;18.3;1
199108;19;1
199109;18.4;1
199110;14.4;1
199111;11.9;1
199112;9.4;1
199201;8.6;1
199202;9.7;1
199203;11;1
199204;11.6;1
199205;15.4;1
199206;17;1
199207;18.8;1
199208;18;1
199209;16.4;1
199210;13.1;1
199211;12.7;1
199212;9.7;1
199301;11.5;1
199302;9.1;1
199303;10.8;1
199304;12.1;1
199305;13.9;1
199306;16.6;1
199307;16.4;1
199308;17.4;1
199309;16.1;1
199310;13.1;1
199311;10.7;1
199312;11.9;1
199401;10.8;1
199402;10.7;1
199403;11.5;1
199404;11.3;1
199405;13.6;1
199406;16;1
199407;18.2;1
199408;18.2;1
199409;15.5;1
199410;15.5;1
199411;14;1
199412;12.8;1
199501;11.4;1
199502;11.7;1
199503;10.5;1
199504;11.4;1
199505;15;1
199506;15.4;1
199507;18.3;1
199508;19.5;1
199509;16.8;1
199510;16.7;1
199511;12.9;1
199512;9.9;1
199601;9.9;1
199602;9;1
199603;10.6;1
199604;12.2;1
199605;12.7;1
199606;17.6;1
199607;18.8;1
199608;18.8;1
199609;17;1
199610;15.1;1
199611;11.7;1
199612;8.7;1
199701;7.2;1
199702;11.2;1
199703;12.2;1
199704;13.2;1
199705;15.3;1
199706;16.8;1
199707;18.8;1
199708;20.5;1
199709;18.7;1
199710;16;1
199711;13.3;1
199712;11.3;1
199801;9.8;1
199802;10.7;1
199803;11.8;1
199804;11.7;1
199805;15.6;1
199806;17.4;1
199807;17.9;1
199808;19.4;1
199809;18.1;1
199810;14.8;1
199811;11.5;1
199812;11.3;1
199901;10.7;1
199902;10.2;1
199903;11.2;1
199904;12.4;1
199905;15.5;1
199906;16.4;1
199907;19.2;1
199908;19.9;1
199909;18.4;1
199910;15.4;1
199911;12.4;1
199912;10.9;1
200001;9.5;1
200002;11.1;1
200003;10.7;1
200004;11.8;1
200005;14.1;1
200006;17.1;1
200007;17.9;1
200008;19.3;1
200009;18.4;1
200010;14.1;1
200011;11.6;1
200012;11.2;1
200101;9.4;1
200102;10.6;1
200103;11.4;1
200104;12;1
200105;14.6;1
200106;17.6;1
200107;19.5;1
200108;19.5;1
200109;17;1
200110;16.4;1
200111;12.4;1
200112;9.5;1
200201;10.4;1
200202;11.1;1
200203;11.9;1
200204;12.9;1
200205;14.9;1
200206;15.7;1
200207;17.9;1
200208;18.2;1
200209;17.9;1
200210;15.5;1
200211;13.4;1
200212;10.9;1
200301;9.1;1
200302;9.9;1
200303;12.6;1
200304;13.9;1
200305;15.1;1
200306;17.9;1
200307;19.8;1
200308;20.5;1
200309;19.1;1
200310;14.1;1
200311;12.8;1
200312;11;1
200401;10.5;1
200402;9.8;1
200403;10.6;1
200404;12.4;1
200405;14.6;1
200406;18.1;1
200407;18.2;1
200408;19.7;1
200409;17.5;1
200410;15;1
200411;12.3;1
200412;10.6;1
200501;10.6;1
200502;8.7;1
200503;11.4;1
200504;13;1
200505;14.7;1
200506;17.8;1
200507;19.5;1
200508;19.6;1
200509;18.8;1
200510;16.7;1
200511;12.8;1
200512;10.3;1
200601;9.2;1
200602;8.5;1
200603;9.8;1
200604;12.6;1
200605;15.2;1
200606;18.1;1
200607;21.4;1
200608;19.5;1
200609;19.4;1
200610;17.6;1
200611;14.2;1
200612;11.9;1
200701;11.4;1
200702;11.9;1
200703;11.9;1
200704;14.7;1
200705;15.1;1
200706;17.4;1
200707;18.4;1
200708;18.7;1
200709;17.3;1
200710;15.6;1
200711;12.7;1
200712;10.8;1
200801;11.2;1
200802;11.6;1
200803;11.2;1
200804;12.4;1
200805;15.8;1
200806;17.6;1
200807;18.9;1
200808;18.7;1
200809;17;1
200810;14.5;1
200811;11.9;1
200812;9.2;1
200901;8.6;1
200902;9.2;1
200903;11.4;1
200904;12.7;1
200905;14.4;1
200906;18.1;1
200907;19.5;1
200908;19.3;1
200909;17.1;1
200910;16;1
200911;12.8;1
200912;10.1;1
201001;7.9;1
201002;9.2;1
201003;10;1
201004;12.9;1
201005;14.4;1
201006;17.7;1
201007;20.1;1
201008;18.8;1
201009;18;1
201010;15.3;1
201011;11.3;1
201012;8;1
201101;9.4;1
201102;11.1;1
201103;11.2;1
