# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 73034002
# NOM_USUEL= BEAUFORT-SUR-DORON
# LATITUDE (°) = 45.691
# LONGITUDE(°)= 6.569
# ALTITUDE (m) = 1036
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX273034002
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 202312
# Date(s) de rupture(s) d'homogénéité : 195712 197012 198512 201512
#     Periode homogénéisée  195101 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.3;1
195102;4.1;1
195103;5.9;1
195104;11.1;1
195105;13.9;1
195106;19;1
195107;21.4;1
195108;19.4;1
195109;17.8;1
195110;11.2;1
195111;8;1
195112;3.9;1
195201;0;1
195202;2.1;1
195203;8.1;1
195204;13.9;1
195205;17.6;1
195206;22.6;1
195207;25.6;1
195208;21.6;1
195209;13.3;1
195210;11.1;1
195211;4;1
195212;1.1;1
195301;0.1;1
195302;2.8;1
195303;9.1;1
195304;12.6;1
195305;17.9;1
195306;16.6;1
195307;21;1
195308;21.1;1
195309;17.8;1
195310;12.7;1
195311;9;1
195312;6.4;1
195401;-0.3;1
195402;2.2;1
195403;9;1
195404;8.3;1
195405;14.8;1
195406;19.5;1
195407;18.7;1
195408;17.8;1
195409;16.8;1
195410;12.4;1
195411;7.6;1
195412;3.5;1
195501;4.4;1
195502;3.5;1
195503;6.3;1
195504;12.7;1
195505;14.8;1
195506;18.6;1
195507;21.6;1
195508;20.4;1
195509;16;1
195510;10.4;1
195511;6;1
195512;5.4;1
195601;2.3;1
195602;-3.4;1
195603;7.1;1
195604;8.4;1
195605;16.7;1
195606;16.6;1
195607;19.9;1
195608;18.7;1
195609;18.7;1
195610;10.2;1
195611;3.4;1
195612;2.6;1
195701;2.3;1
195702;5.1;1
195703;11.6;1
195704;11.7;1
195705;12.7;1
195706;18.6;1
195707;20.3;1
195708;19;1
195709;16.2;1
195710;12.2;1
195711;5.9;1
195712;2.7;1
195801;1.1;1
195802;4.3;1
195803;3.9;1
195804;8.6;1
195805;18.6;1
195806;17.2;1
195807;20.5;1
195808;21.8;1
195809;19.4;1
195810;10.5;1
195811;6.2;1
195812;3.3;1
195901;1.7;1
195902;7;1
195903;10.3;1
195904;12;1
195905;16.5;1
195906;19.5;1
195907;23.1;1
195908;20.5;1
195909;18.1;1
195910;11.6;1
195911;6.2;1
195912;3.2;1
196001;1;1
196002;4.7;1
196003;8.9;1
196004;12.1;1
196005;18.7;1
196006;20.3;1
196007;19;1
196008;19.4;1
196009;14.8;1
196010;10.6;1
196011;6.8;1
196012;1.2;1
196101;1.5;1
196102;5.5;1
196103;10.3;1
196104;14.1;1
196105;14.6;1
196106;19.7;1
196107;19.7;1
196108;21.1;1
196109;21.4;1
196110;12.5;1
196111;7.1;1
196112;4;1
196201;3.1;1
196202;2.2;1
196203;3.3;1
196204;10.8;1
196205;14.1;1
196206;19.3;1
196207;21.4;1
196208;24.5;1
196209;17.8;1
196210;12.6;1
196211;4.4;1
196212;-0.4;1
196301;-2;1
196302;-0.1;1
196303;4.6;1
196304;11.6;1
196305;14.6;1
196306;18;1
196307;22.6;1
196308;18.2;1
196309;16.4;1
196310;12.7;1
196311;8.4;1
196312;3.2;1
196401;3.5;1
196402;6.3;1
196403;5.8;1
196404;12.5;1
196405;17.9;1
196406;20.5;1
196407;23.2;1
196408;20.1;1
196409;18.1;1
196410;9.4;1
196411;7.5;1
196412;2.7;1
196501;2.4;1
196502;1;1
196503;6.3;1
196504;8.6;1
196505;15;1
196506;19.8;1
196507;19.6;1
196508;19.1;1
196509;13.7;1
196510;14.1;1
196511;5.5;1
196512;2.7;1
196601;1;1
196602;7.6;1
196603;5.5;1
196604;12.1;1
196605;16.3;1
196606;20.2;1
196607;18.7;1
196608;18.6;1
196609;19.4;1
196610;13.5;1
196611;3.4;1
196612;1.3;1
196701;2.2;1
196702;5.8;1
196703;7.8;1
196704;11;1
196705;15.5;1
196706;17.7;1
196707;24.2;1
196708;21.5;1
196709;16.5;1
196710;15.3;1
196711;8.6;1
196712;0.6;1
196801;1.1;1
196802;5;1
196803;7.3;1
196804;13.7;1
196805;14.6;1
196806;18.7;1
196807;21;1
196808;17.5;1
196809;15.5;1
196810;15.2;1
196811;7.5;1
196812;1.9;1
196901;3.7;1
196902;1.3;1
196903;6.5;1
196904;10.9;1
196905;16.8;1
196906;16.5;1
196907;21.5;1
196908;19.5;1
196909;17.7;1
196910;14.9;1
196911;6.3;1
196912;-0.9;1
197001;4.3;1
197002;1.8;1
197003;3.4;1
197004;6.5;1
197005;14.3;1
197006;20.4;1
197007;20.6;1
197008;20.1;1
197009;19.1;1
197010;12;1
197011;8.8;1
