# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 73306005
# NOM_USUEL= VALLOIRE FOREST
# LATITUDE (°) = 45.173
# LONGITUDE(°)= 6.433
# ALTITUDE (m) = 1460
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX273306005
# Amplitude minimale détectable de la série = 0.21
# Période homogénéisée : 195101 202312
# Date(s) de rupture(s) d'homogénéité : 196412 198112 200812
#     Periode homogénéisée  195101 202312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;2.7;1
195102;2.4;1
195103;4.4;1
195104;9.3;1
195105;12.6;1
195106;16.9;1
195107;19.3;1
195108;18.6;1
195109;16.5;1
195110;10.7;1
195111;7.3;1
195112;5.2;1
195201;0.1;1
195202;1.9;1
195203;8.1;1
195204;11.3;1
195205;15.4;1
195206;20.1;1
195207;23.2;1
195208;20.9;1
195209;12;1
195210;9.8;1
195211;3.5;1
195212;1.8;1
195301;1;1
195302;3.3;1
195303;8.8;1
195304;11;1
195305;16;1
195306;14.7;1
195307;19.4;1
195308;19.4;1
195309;17.1;1
195310;11.1;1
195311;10.1;1
195312;5.6;1
195401;0.2;1
195402;2.1;1
195403;7.6;1
195404;7;1
195405;12.7;1
195406;17.6;1
195407;16.9;1
195408;17.2;1
195409;16;1
195410;11.6;1
195411;8.6;1
195412;5.9;1
195501;5.1;1
195502;1.7;1
195503;6.3;1
195504;11.1;1
195505;13.5;1
195506;17.3;1
195507;19.2;1
195508;18.5;1
195509;14.6;1
195510;10.7;1
195511;5.9;1
195512;5.7;1
195601;3.3;1
195602;-5.3;1
195603;5.7;1
195604;7.9;1
195605;15.5;1
195606;15.1;1
195607;20.1;1
195608;19.2;1
195609;18;1
195610;10.3;1
195611;2.1;1
195612;3.3;1
195701;3.2;1
195702;5.7;1
195703;12.4;1
195704;9.5;1
195705;10.6;1
195706;17.7;1
195707;19.4;1
195708;17.8;1
195709;15.8;1
195710;13.6;1
195711;7.1;1
195712;3;1
195801;2.7;1
195802;4.8;1
195803;4.2;1
195804;7.6;1
195805;17.7;1
195806;16.3;1
195807;19.9;1
195808;20.5;1
195809;18.5;1
195810;11.3;1
195811;6.6;1
195812;3.5;1
195901;1.8;1
195902;8.5;1
195903;8.4;1
195904;10.4;1
195905;14.2;1
195906;17.8;1
195907;21.2;1
195908;19.3;1
195909;16.9;1
195910;11.1;1
195911;5.5;1
195912;2.2;1
196001;1.9;1
196002;4.6;1
196003;7.1;1
196004;9.3;1
196005;16.2;1
196006;18.3;1
196007;17.9;1
196008;18.7;1
196009;13.7;1
196010;8.4;1
196011;5.1;1
196012;0.8;1
196101;2.3;1
196102;6.5;1
196103;10;1
196104;12.1;1
196105;12.4;1
196106;17.8;1
196107;18.2;1
196108;19.3;1
196109;20.7;1
196110;12.3;1
196111;6;1
196112;4.6;1
196201;2.7;1
196202;2.1;1
196203;3.7;1
196204;8.3;1
196205;12.3;1
196206;16.9;1
196207;19.9;1
196208;23.2;1
196209;17;1
196210;13.1;1
196211;3.9;1
196212;1.3;1
196301;-1.1;1
196302;-0.1;1
196303;5.8;1
196304;10.8;1
196305;13;1
196306;17;1
196307;21.1;1
196308;18.4;1
196309;16;1
196310;13.2;1
196311;8.2;1
196312;2.3;1
196401;4.6;1
196402;5.2;1
196403;4.8;1
196404;10.4;1
196405;16;1
196406;18.8;1
196407;21.7;1
196408;19.2;1
196409;17.5;1
196410;8.9;1
196411;8;1
196412;2.7;1
196501;1.8;1
196502;-0.6;1
196503;5.1;1
196504;7;1
196505;13.7;1
196506;17.7;1
196507;18.2;1
196508;18.4;1
196509;13.5;1
196510;14;1
196511;4.6;1
196512;2.3;1
196601;0.1;1
196602;7.1;1
196603;3.8;1
196604;10.7;1
196605;14.5;1
196606;19.2;1
196607;17.1;1
196608;17;1
196609;18.7;1
196610;12.5;1
196611;2.2;1
196612;1.1;1
196701;1.8;1
196702;4.3;1
196703;6.1;1
196704;9.3;1
196705;14.3;1
196706;16.7;1
196707;22.2;1
196708;20.8;1
196709;16.3;1
196710;16;1
196711;8.8;1
196712;1.2;1
196801;1.1;1
196802;4.5;1
196803;6.2;1
196804;12.9;1
196805;13.2;1
196806;16.8;1
196807;19.3;1
196808;16.4;1
196809;14.9;1
196810;14.8;1
196811;7.6;1
196812;1.8;1
196901;3;1
196902;0;1
196903;5.6;1
196904;8.9;1
196905;15.4;1
196906;15;1
196907;19.8;1
196908;18;1
196909;16.4;1
196910;15.3;1
196911;5.9;1
196912;-1.1;1
197001;4;1
197002;1.6;1
197003;2.5;1
197004;6.1;1
197005;13.1;1
197006;18.5;1
197007;19.8;1
197008;20;1
197009;19;1
197010;12.1;1
197011;9.3;1
197012;1.5;1
197101;2.8;1
197102;4.3;1
197103;1.9;1
197104;12.3;1
197105;14.5;1
197106;15.1;1
197107;21.1;1
197108;22.6;1
197109;15.9;1
197110;14.6;1
197111;3;1
197112;5.4;1
197201;1.9;1
197202;4.2;1
197203;7.8;1
197204;8.4;1
197205;12.6;1
197206;16.5;1
197207;18.4;1
197208;17.9;1
197209;13.2;1
197210;12.4;1
197211;8.1;1
197212;5.6;1
197301;3.9;1
197302;1.2;1
197303;5;1
197304;6.8;1
197305;16.1;1
197306;17.6;1
197307;18.6;1
197308;20.9;1
197309;18;1
197310;11.5;1
197311;7.4;1
197312;2.6;1
197401;6.4;1
197402;3.9;1
197403;7;1
197404;9.1;1
197405;12.7;1
197406;15.7;1
197407;19.3;1
197408;21.2;1
197409;15;1
197410;4.1;1
197411;5.5;1
197412;4.3;1
197501;5.9;1
197502;6.5;1
197503;4;1
197504;9.4;1
197505;13;1
197506;15.4;1
197507;19.9;1
197508;18.4;1
197509;16.4;1
197510;11;1
197511;5.1;1
197512;4.8;1
197601;2.7;1
197602;5.8;1
197603;7.1;1
197604;9.4;1
197605;15.1;1
197606;20.2;1
197607;19.4;1
197608;18.5;1
197609;14.1;1
197610;11.3;1
197611;4.4;1
197612;1.7;1
197701;2.4;1
197702;5.3;1
197703;8.4;1
197704;8.5;1
197705;12.5;1
197706;15.6;1
197707;18.8;1
197708;16.9;1
197709;15.6;1
197710;13.7;1
197711;5.4;1
197712;4.2;1
197801;1.7;1
197802;3.1;1
197803;5.9;1
197804;7.2;1
197805;11.8;1
197806;16.5;1
197807;19.3;1
197808;18.8;1
197809;16.9;1
197810;12.6;1
197811;8.3;1
197812;4.4;1
197901;0.7;1
197902;3.6;1
197903;5.8;1
197904;6.5;1
197905;14.7;1
197906;18.1;1
197907;20.8;1
197908;18.1;1
197909;15.9;1
197910;12.6;1
197911;5.3;1
197912;3.8;1
198001;1.3;1
198002;5.6;1
198003;5.9;1
198004;6.7;1
198005;11.8;1
198006;15;1
198007;17.3;1
198008;20;1
198009;17.6;1
198010;10.2;1
198011;5.8;1
198012;0.4;1
198101;0.6;1
198102;2.9;1
198103;7.7;1
198104;11.7;1
198105;12.6;1
198106;17.8;1
198107;18.1;1
198108;20;1
198109;15.5;1
198110;10.8;1
198111;6.6;1
198112;0.6;1
198201;4.6;1
198202;5.4;1
198203;4.1;1
198204;10;1
198205;15.5;1
198206;18.4;1
198207;22.7;1
198208;19;1
198209;18.2;1
198210;10.7;1
198211;6.9;1
198212;3.1;1
198301;5.1;1
198302;1.8;1
198303;7.5;1
198304;9;1
198305;11.9;1
198306;18.5;1
198307;25.9;1
198308;20.2;1
198309;18.1;1
198310;12.3;1
198311;7.7;1
198312;3.1;1
198401;0.8;1
198402;0.7;1
198403;4.2;1
198404;9.4;1
198405;10.5;1
198406;17.2;1
198407;22.1;1
198408;19;1
198409;14.3;1
198410;12.4;1
198411;8.4;1
198412;3.3;1
198501;-2.6;1
198502;4.6;1
198503;4.1;1
198504;10.4;1
198505;13.1;1
198506;17;1
198507;22.5;1
198508;20.4;1
198509;19.2;1
198510;14.1;1
198511;2.4;1
198512;4.8;1
198601;-0.2;1
198602;-0.3;1
198603;6.5;1
198604;7.2;1
198605;17.1;1
198606;18.5;1
198607;20.5;1
198608;20.4;1
198609;18;1
198610;13.3;1
198611;7.1;1
198612;2;1
198701;0.2;1
198702;2.9;1
198703;3.5;1
198704;11.5;1
198705;12;1
198706;16.2;1
198707;19.7;1
198708;20.2;1
198709;19.5;1
198710;13.5;1
198711;5.7;1
198712;5.9;1
198801;4.5;1
198802;2.5;1
198803;4;1
198804;11.4;1
198805;15;1
198806;16.6;1
198807;21.2;1
198808;21.2;1
198809;16.1;1
198810;14.1;1
198811;5.2;1
198812;2.9;1
198901;5.5;1
198902;6.4;1
198903;10.2;1
198904;7.5;1
198905;16.7;1
198906;17.8;1
198907;21.4;1
198908;21.1;1
198909;16.1;1
198910;14.2;1
198911;7.2;1
198912;7.4;1
199001;4.7;1
199002;7.9;1
199003;9;1
199004;9.2;1
199005;17.1;1
199006;17.3;1
199007;22;1
199008;21.6;1
199009;16.9;1
199010;13.9;1
199011;5.5;1
199012;1.2;1
199101;4.1;1
199102;3;1
199103;9;1
199104;8.9;1
199105;11.2;1
199106;17;1
199107;22.7;1
199108;23.6;1
