# DONNEES MENSUELLES HOMOGENEISEES de TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
# NUM_POSTE= 50020001
# NOM_USUEL= PTE DE LA HAGUE
# LATITUDE (°) = 49.725
# LONGITUDE(°)= -1.94
# ALTITUDE (m) = 6
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MTX450020001
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 195101 202212
# Date(s) de rupture(s) d'homogénéité : 195512 196212 198412 200812
#     Periode homogénéisée  195101 202212  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;8.3;1
195102;7.7;1
195103;7.8;1
195104;10;1
195105;12;1
195106;15.1;1
195107;17.9;1
195108;17.5;1
195109;16.8;1
195110;14.4;1
195111;12.4;1
195112;9.7;1
195201;8.1;1
195202;7.3;1
195203;9.5;1
195204;12.1;1
195205;14.8;1
195206;16.5;1
195207;18;1
195208;18.8;1
195209;15.2;1
195210;13.4;1
195211;9.7;1
195212;8.6;1
195301;7.2;1
195302;6.7;1
195303;8.2;1
195304;10.4;1
195305;13.9;1
195306;15.2;1
195307;16.6;1
195308;18.8;1
195309;17.2;1
195310;14.8;1
195311;11.8;1
195312;11.9;1
195401;7.6;1
195402;6.9;1
195403;9.6;1
195404;10.3;1
195405;13.3;1
195406;15;1
195407;15.7;1
195408;16.8;1
195409;16.3;1
195410;15.6;1
195411;12.5;1
195412;10.7;1
195501;8;1
195502;6.6;1
195503;6.6;1
195504;10.8;1
195505;12.2;1
195506;15.3;1
195507;17.5;1
195508;19.8;1
195509;18.2;1
195510;14.4;1
195511;12.1;1
195512;11.1;1
195601;9.2;1
195602;3.9;1
195603;9.2;1
195604;9.7;1
195605;13.4;1
195606;14.1;1
195607;16.5;1
195608;16.1;1
195609;16.9;1
195610;14.1;1
195611;10.4;1
195612;10.1;1
195701;8.6;1
195702;9.3;1
195703;12;1
195704;11;1
195705;12.9;1
195706;17;1
195707;17.9;1
195708;17.5;1
195709;16.3;1
195710;14.9;1
195711;10.5;1
195712;9.1;1
195801;8.2;1
195802;9.4;1
195803;7.3;1
195804;8.9;1
195805;13.3;1
195806;15;1
195807;16.9;1
195808;17.8;1
195809;17.8;1
195810;14.4;1
195811;11.3;1
195812;9.9;1
195901;7.9;1
195902;8.1;1
195903;10.6;1
195904;11.5;1
195905;13.5;1
195906;16.1;1
195907;18.8;1
195908;19.1;1
195909;19.1;1
195910;17.2;1
195911;12;1
195912;10.7;1
196001;8.9;1
196002;8.9;1
196003;9.6;1
196004;11.5;1
196005;14.6;1
196006;16.7;1
196007;17.1;1
196008;18.1;1
196009;17.1;1
196010;14.7;1
196011;12.7;1
196012;9.1;1
196101;8.2;1
196102;10.1;1
196103;11.1;1
196104;13;1
196105;13.9;1
196106;16.1;1
196107;17.7;1
196108;18.5;1
196109;19;1
196110;15.8;1
196111;10.8;1
196112;9.1;1
196201;9;1
196202;7.8;1
196203;6.7;1
196204;9.5;1
196205;11.8;1
196206;15;1
196207;16.9;1
196208;17.1;1
196209;16.3;1
196210;14.6;1
196211;10.3;1
196212;7.7;1
196301;3.4;1
196302;3.9;1
196303;8.7;1
196304;9.6;1
196305;11.7;1
196306;14.8;1
196307;16.8;1
196308;16.4;1
196309;15.7;1
196310;14.2;1
196311;12.7;1
196312;7.6;1
196401;6.9;1
196402;8;1
196403;7.6;1
196404;10.6;1
196405;13.9;1
196406;15.8;1
196407;17.9;1
196408;18.5;1
196409;18;1
196410;13.4;1
196411;11.9;1
196412;9.1;1
196501;7.9;1
196502;6;1
196503;8.7;1
196504;9.9;1
196505;13.1;1
196506;15.1;1
196507;16.7;1
196508;17.8;1
196509;15.9;1
196510;15.7;1
196511;10.4;1
196512;10.2;1
196601;7.4;1
196602;9.9;1
196603;9.5;1
196604;11.8;1
196605;13.1;1
196606;16.4;1
196607;16.8;1
196608;17.9;1
196609;17.8;1
196610;14.9;1
196611;10.3;1
196612;10.4;1
196701;8.4;1
196702;8.9;1
196703;9.8;1
196704;10.1;1
196705;13.1;1
196706;15.6;1
196707;18.4;1
196708;18.4;1
196709;16.7;1
196710;14.8;1
196711;10.9;1
196712;9.2;1
196801;8.9;1
196802;6.8;1
196803;9.5;1
196804;11.4;1
196805;12.3;1
196806;15.4;1
196807;17.6;1
196808;17.6;1
196809;17.3;1
196810;16.2;1
196811;11.3;1
196812;8.4;1
196901;9.5;1
196902;6.7;1
196903;8.3;1
196904;10.8;1
196905;14;1
196906;15.6;1
196907;18;1
196908;18.5;1
196909;17.6;1
196910;17.5;1
196911;11.6;1
196912;8.8;1
197001;8.9;1
197002;8.2;1
197003;8;1
197004;9.8;1
197005;13.5;1
197006;16;1
197007;17.1;1
197008;17.7;1
197009;18.1;1
197010;14.8;1
197011;12.9;1
197012;8.6;1
197101;8.9;1
197102;8.6;1
197103;8;1
197104;10.1;1
197105;13.6;1
197106;14.6;1
197107;18.4;1
197108;18.7;1
197109;18.4;1
197110;16.7;1
197111;11.8;1
197112;10;1
197201;8.1;1
197202;8.7;1
197203;10.2;1
197204;11.1;1
197205;12.6;1
197206;14.2;1
197207;16.2;1
197208;17.5;1
197209;16;1
197210;14.6;1
197211;11.3;1
197212;10;1
197301;8.3;1
197302;8.4;1
197303;10.1;1
197304;9.8;1
197305;13.4;1
197306;16;1
197307;17.2;1
197308;18.9;1
197309;17.2;1
197310;14.2;1
197311;11.8;1
197312;9.7;1
197401;9.1;1
197402;8.9;1
197403;8.7;1
197404;10.9;1
197405;12.9;1
197406;15.4;1
197407;16.9;1
197408;17.9;1
197409;15.6;1
197410;11.7;1
197411;11.2;1
197412;11;1
197501;10.4;1
197502;9.6;1
197503;8.3;1
197504;10;1
197505;11.8;1
197506;16.4;1
197507;18.4;1
197508;19.9;1
197509;17.5;1
197510;14.6;1
197511;11.9;1
197512;9;1
197601;9;1
197602;8;1
197603;8.5;1
197604;10.1;1
197605;14;1
197606;18.4;1
197607;20;1
197608;19.8;1
197609;17.8;1
197610;15;1
197611;11.2;1
197612;8;1
197701;7.8;1
197702;9.2;1
197703;10.3;1
197704;10.1;1
197705;12.4;1
197706;13.7;1
197707;16.9;1
197708;17.5;1
197709;16.5;1
197710;16.6;1
197711;11.6;1
197712;10.2;1
197801;8.3;1
197802;7.7;1
197803;9.9;1
197804;9.5;1
197805;12.7;1
197806;15;1
197807;16.2;1
197808;17.8;1
197809;17.2;1
197810;16.1;1
197811;13.4;1
197812;9.9;1
197901;6.1;1
197902;6.3;1
197903;8.6;1
197904;10.6;1
197905;12.3;1
197906;14.8;1
197907;17.6;1
197908;17.7;1
197909;17.1;1
197910;16.1;1
197911;12.5;1
197912;10.6;1
198001;7.3;1
198002;9.7;1
198003;8.2;1
198004;11.3;1
198005;13;1
198006;15.6;1
198007;17;1
198008;18.4;1
198009;18.2;1
198010;14.2;1
198011;10.4;1
198012;9.7;1
198101;9.2;1
198102;7.2;1
198103;10.4;1
198104;10.1;1
198105;13.5;1
198106;15.2;1
198107;17.3;1
198108;19;1
198109;18.3;1
198110;13.6;1
198111;11.9;1
198112;8.3;1
198201;8.8;1
198202;8.6;1
198203;9;1
198204;11.2;1
198205;13.8;1
198206;16.7;1
198207;17.9;1
198208;18.4;1
198209;18.4;1
198210;14.5;1
198211;12.8;1
198212;9.8;1
198301;10.2;1
198302;6.5;1
198303;9.3;1
198304;10.6;1
198305;13;1
198306;16.3;1
198307;19.5;1
198308;19.4;1
198309;17.6;1
198310;14.9;1
198311;12.2;1
198312;10.3;1
198401;9.3;1
198402;7.9;1
198403;8.2;1
198404;11.2;1
198405;11.4;1
198406;15.9;1
198407;18.9;1
198408;19.3;1
198409;17.4;1
198410;14.7;1
198411;12.7;1
198412;9.8;1
198501;6;1
198502;7;1
198503;8.3;1
198504;11.2;1
198505;12.7;1
198506;14.9;1
198507;18.1;1
198508;17.7;1
198509;17.8;1
198510;15.3;1
198511;10.2;1
198512;10.6;1
198601;8.6;1
198602;3.5;1
198603;8.3;1
198604;8.8;1
198605;13.2;1
198606;15.8;1
198607;17.2;1
198608;17.1;1
198609;15.5;1
198610;15.3;1
198611;12.6;1
198612;10.7;1
198701;4.5;1
198702;7.1;1
198703;7.5;1
198704;12;1
198705;12.5;1
198706;15.1;1
198707;17.8;1
198708;19.2;1
198709;18.1;1
198710;14.9;1
198711;11.3;1
198712;9.1;1
198801;9.7;1
198802;8.8;1
198803;9.1;1
198804;11.1;1
198805;14;1
198806;15.9;1
198807;17.4;1
198808;18.2;1
198809;16.7;1
198810;15.2;1
198811;11.5;1
198812;10.9;1
198901;9.4;1
198902;10;1
198903;11.3;1
