code_insee,commune,departement,feu_foret_present,statut,specifique
04009,Archail,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04007,Angles,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04005,Allons,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04008,Annot,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04016,Authon,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04001,Aiglun,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04013,Aubignosc,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04004,Allemagne-en-Provence,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04006,Allos,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04012,Aubenas-les-Alpes,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04021,Barras,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04018,Banon,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04017,Auzet,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04020,Barles,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04024,Beaujeu,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04026,Bellaffaire,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04019,Barcelonnette,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04023,Bayons,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04025,Beauvezer,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04027,Bevons,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04022,Barrême,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04037,Le Caire,04,,erreur,Remote end closed connection without response
04030,Blieux,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04031,Bras-d'Asse,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04042,Castellet-lès-Sausses,04,,erreur,Remote end closed connection without response
04043,Val-de-Chalvagne,04,,erreur,Remote end closed connection without response
04032,Braux,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04046,Le Chaffaut-Saint-Jurson,04,,erreur,Remote end closed connection without response
04034,La Brillanne,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04028,Beynes,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04049,Château-Arnoux-Saint-Auban,04,,erreur,Remote end closed connection without response
04047,Champtercier,04,,erreur,Remote end closed connection without response
04050,Châteaufort,04,,erreur,Remote end closed connection without response
04051,Châteauneuf-Miravail,04,,erreur,Remote end closed connection without response
04054,Châteauredon,04,,erreur,Remote end closed connection without response
04036,Le Brusquet,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04035,Brunet,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04057,Clamensane,04,,erreur,Remote end closed connection without response
04055,Chaudon-Norante,04,,erreur,Remote end closed connection without response
04059,Clumanc,04,,erreur,Remote end closed connection without response
04058,Claret,04,,erreur,Remote end closed connection without response
04061,Colmars,04,,erreur,Remote end closed connection without response
04062,La Condamine-Châtelard,04,,erreur,Remote end closed connection without response
04040,Le Castellard-Mélan,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04066,Curbans,04,,erreur,Remote end closed connection without response
04033,Ubaye-Serre-Ponçon,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04065,Cruis,04,,erreur,Remote end closed connection without response
04068,Dauphin,04,,erreur,Remote end closed connection without response
04067,Curel,04,,erreur,Remote end closed connection without response
04069,Demandolx,04,,erreur,Remote end closed connection without response
04074,Entrages,04,,erreur,Remote end closed connection without response
04073,Enchastrayes,04,,erreur,Remote end closed connection without response
04075,Entrepierres,04,,erreur,Remote end closed connection without response
04041,Le Castellet,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04039,Castellane,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04045,Céreste-en-Luberon,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04081,Esparron-de-Verdon,04,,erreur,Remote end closed connection without response
04085,Faucon-du-Caire,04,,erreur,Remote end closed connection without response
04084,Estoublon,04,,erreur,Remote end closed connection without response
04086,Faucon-de-Barcelonnette,04,,erreur,Remote end closed connection without response
04088,Forcalquier,04,,erreur,Remote end closed connection without response
04087,Fontienne,04,,erreur,Remote end closed connection without response
04090,Le Fugeret,04,,erreur,Remote end closed connection without response
04092,La Garde,04,,erreur,Remote end closed connection without response
04093,Gigors,04,,erreur,Remote end closed connection without response
04094,Gréoux-les-Bains,04,,erreur,Remote end closed connection without response
04095,L'Hospitalet,04,,erreur,Remote end closed connection without response
04096,Jausiers,04,,erreur,Remote end closed connection without response
04077,Entrevennes,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04101,Lardiers,04,,erreur,Remote end closed connection without response
04063,Corbières-en-Provence,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04102,Le Lauzet-Ubaye,04,,erreur,Remote end closed connection without response
04104,Limans,04,,erreur,Remote end closed connection without response
04106,Lurs,04,,erreur,Remote end closed connection without response
04107,Majastres,04,,erreur,Remote end closed connection without response
04108,Malijai,04,,erreur,Remote end closed connection without response
04079,L'Escale,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04110,Mallemoisson,04,,erreur,Remote end closed connection without response
04111,Mane,04,,erreur,Remote end closed connection without response
04112,Manosque,04,,erreur,Remote end closed connection without response
04076,Entrevaux,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04113,Marcoux,04,,erreur,Remote end closed connection without response
04091,Ganagobie,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04115,Méailles,04,,erreur,Remote end closed connection without response
04116,Les Mées,04,,erreur,Remote end closed connection without response
04120,Val d'Oronaye,04,,erreur,Remote end closed connection without response
04122,Mirabeau,04,,erreur,Remote end closed connection without response
04053,Châteauneuf-Val-Saint-Donat,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04124,Montagnac-Montpezat,04,,erreur,Remote end closed connection without response
04126,Montclar,04,,erreur,Remote end closed connection without response
04128,Montfuron,04,,erreur,Remote end closed connection without response
04129,Montjustin,04,,erreur,Remote end closed connection without response
04130,Montlaux,04,,erreur,Remote end closed connection without response
04097,La Javie,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
