id,name,long_name,named_place,station_type,basin,lon,lat,alt,start_date,end_date,is_open,is_public,department_id,is_daily,is_hourly,is_minutely
29293001,TREGUNC,TREGUNC,KERLEOGUY,1,J451,-3.868833,47.841333,25,2003-12-01,,true,true,29,true,true,true
09224001,PAILHES-SPC,,,5,,1.443,43.102167,287,,,true,true,9,true,true,false
32462004,VIC-FEZENSAC-SPC,,,5,,0.304833,43.758667,113,,,true,true,32,true,true,false
32381001,SAINT-JEAN-LE-COMTAL-SPC,,,5,,0.538167,43.570333,160,,,true,true,32,true,true,false
97305002,SOULA_SAPC,,,2,,-52.405333,4.919167,4,,,true,true,973,true,true,true
72061001,LA CHAPELLE D A,LA CHAPELLE-D'ALIGNE (LA CHAPELLE D A),LES GRINGUENIERES,4,M153,-0.216667,47.716667,50,1951-04-01,1993-09-30,true,true,72,true,false,false
30105002,LE MAZET-SPC,,,5,,3.466167,44.07,883,,,true,true,30,true,true,false
15001004,ALLANCHE-SPC,,,5,,2.937667,45.232167,983,,,true,true,15,true,true,true
32107007,CONDOM-SPC,,,5,,0.368333,43.956667,80,,,true,true,32,true,false,false
32256003,MIRANDE-SPC,,,5,,0.412167,43.515667,162,,,false,true,32,true,true,false
34142003,LODEVE-SPC,,,5,,3.323667,43.728333,160,,,true,true,34,true,true,false
64504003,SARE-SPC,,,5,,-1.5855,43.330167,77,,,true,true,64,true,true,false
65025004,ARGELES-GAZOST-SPC,,,5,,-0.081667,43.005333,453,,,true,true,65,true,true,false
73051001,MONT DU CHAT,LE BOURGET-DU-LAC (MONT DU CHAT),,1,V144,5.8215,45.6605,1496,2005-08-01,,true,true,73,true,true,true
66006001,ANSIGNAN-SPC,,,5,,2.523167,42.754667,170,,,true,true,66,true,true,false
66016003,BANYULS-SUR-MER-1-SPC,,,5,,3.070833,42.4625,6,,,false,true,66,true,true,false
06088005,NICE-FERIC,NICE (NICE-FERIC),ST PIERRE DE FERIC,4,Y650,7.2345,43.7175,197,1949-12-01,2008-12-31,true,true,6,true,false,false
66045001,CATLLAR-SPC,,,5,,2.421833,42.6325,332,,,false,true,66,true,true,false
41135003,MENNETOU-SUR-CHER-SPC,,,5,,1.870667,47.268333,96,,,true,true,41,true,true,false
02094001,BLESMES,BLESMES,LES AULNES BOUILLANTS,1,F620,3.462667,49.009667,222,1985-12-01,,true,true,2,true,true,true
42224004,SAINT-GENEST-MALIFAUX-SPC,,,5,,4.420833,45.3435,960,,,true,true,42,true,true,false
02110002,BRAINE,BRAINE,FERME DU PARC,1,H158,3.527,49.351333,61,1988-08-01,,true,true,2,true,true,true
72361001,TRESSON_SAPC,TRESSON (TRESSON_SAPC),Les Quatre Vents,2,M131,0.5595,47.885333,154,2008-12-05,,true,true,72,true,true,true
66060006,CORSAVY-SPC,,,5,,2.581667,42.466667,767,,,true,true,66,true,true,false
66136013,PERPIGNAN-SPC,,,5,,2.892667,42.705333,33,,,true,true,66,true,true,false
66150014,PRATS-DE-MOLLO-LA-PRESTE-1-SPC,,,5,,2.513333,42.393333,745,,,true,true,66,true,true,false
66165002,RODES-SPC,,,5,,2.545,42.658,201,,,true,true,66,true,true,false
66217001,TROUILLAS-SPC,,,5,,2.830833,42.595833,90,,,true,true,66,true,true,false
66227001,VILLENEUVE-DE-LA-RAHO-SPC,,,5,,2.926667,42.6525,51,,,true,true,66,true,true,false
81140003,LAVAUR-SPC,,,5,,1.822833,43.700667,140,,,false,true,81,true,true,false
37240001,SAUNAY,SAUNAY,ROCADE CHATEAU RENAULT,1,K487,0.931333,47.590333,109,2001-09-01,,true,true,37,true,true,true
