dept,year,jours_30
01,1950,31
01,1951,5
01,1952,30
01,1953,15
01,1954,15
01,1955,7
01,1956,5
01,1957,14
01,1958,12
01,1959,21
01,1960,4
01,1961,24
01,1962,21
01,1963,7
01,1964,19
01,1965,8
01,1966,9
01,1967,15
01,1968,9
01,1969,15
01,1970,12
01,1971,15
01,1972,5
01,1973,16
01,1974,9
01,1975,12
01,1976,27
01,1977,2
01,1978,5
01,1979,8
01,1980,6
01,1981,5
01,1982,10
01,1983,22
01,1984,11
01,1985,11
01,1986,17
01,1987,14
01,1988,10
01,1989,17
01,1990,20
01,1991,26
01,1992,18
01,1993,13
01,1994,30
01,1995,19
01,1996,9
01,1997,20
01,1998,18
01,1999,15
01,2000,18
01,2001,19
01,2002,14
01,2003,53
01,2004,18
01,2005,23
01,2006,27
01,2007,10
01,2008,12
01,2009,24
01,2010,21
01,2011,15
01,2012,17
01,2013,20
01,2014,11
01,2015,36
01,2016,27
01,2017,34
01,2018,39
01,2019,35
01,2020,36
01,2021,13
01,2022,45
01,2023,36
01,2024,26
02,1950,2
02,1951,0
02,1952,10
02,1953,9
02,1954,5
02,1955,8
02,1956,4
02,1957,11
02,1958,3
02,1959,15
02,1960,2
02,1961,10
02,1962,3
02,1963,4
02,1964,15
02,1965,2
02,1966,4
02,1967,7
02,1968,3
02,1969,8
02,1970,8
02,1971,4
02,1972,2
02,1973,13
02,1974,3
02,1975,11
02,1976,25
02,1977,2
02,1978,2
02,1979,3
02,1980,1
02,1981,5
02,1982,7
02,1983,13
02,1984,5
02,1985,1
02,1986,5
02,1987,3
02,1988,2
02,1989,7
02,1990,15
02,1991,6
02,1992,8
02,1993,2
02,1994,16
02,1995,20
02,1996,3
02,1997,11
02,1998,8
02,1999,8
02,2000,4
02,2001,11
02,2002,8
02,2003,17
02,2004,8
02,2005,12
02,2006,17
02,2007,3
02,2008,4
02,2009,8
02,2010,10
02,2011,6
02,2012,6
02,2013,9
02,2014,3
02,2015,13
02,2016,10
02,2017,12
02,2018,18
02,2019,13
02,2020,18
02,2021,3
02,2022,21
02,2023,15
02,2024,12
03,1950,25
03,1951,8
03,1952,30
03,1953,18
03,1954,8
03,1955,7
03,1956,4
03,1957,16
03,1958,14
03,1959,24
03,1960,8
03,1961,24
03,1962,22
03,1963,8
03,1964,30
03,1965,10
03,1966,12
03,1967,19
03,1968,7
03,1969,16
03,1970,12
03,1971,14
03,1972,7
03,1973,23
03,1974,11
03,1975,14
03,1976,29
03,1977,3
03,1978,6
03,1979,8
03,1980,6
03,1981,6
03,1982,14
03,1983,23
03,1984,12
03,1985,19
03,1986,15
03,1987,19
03,1988,11
03,1989,14
03,1990,19
03,1991,23
03,1992,16
03,1993,11
03,1994,21
03,1995,21
03,1996,9
03,1997,18
03,1998,16
03,1999,16
03,2000,19
03,2001,20
03,2002,14
03,2003,50
03,2004,15
03,2005,24
03,2006,31
03,2007,6
03,2008,10
03,2009,20
03,2010,14
03,2011,15
03,2012,17
03,2013,18
03,2014,11
03,2015,35
03,2016,26
03,2017,27
03,2018,35
03,2019,42
03,2020,33
03,2021,15
03,2022,37
03,2023,37
03,2024,19
04,1950,71
04,1951,15
04,1952,44
04,1953,20
04,1954,17
04,1955,11
04,1956,25
04,1957,17
04,1958,16
04,1959,23
04,1960,4
04,1961,15
04,1962,27
04,1963,8
04,1964,18
04,1965,17
04,1966,15
04,1967,31
04,1968,13
04,1969,20
04,1970,30
04,1971,28
04,1972,10
04,1973,34
04,1974,25
04,1975,25
04,1976,23
04,1977,6
04,1978,18
04,1979,24
04,1980,17
04,1981,22
04,1982,35
04,1983,28
04,1984,17
04,1985,31
04,1986,30
04,1987,28
04,1988,28
04,1989,35
04,1990,29
04,1991,43
04,1992,28
04,1993,25
04,1994,42
04,1995,26
04,1996,18
04,1997,29
04,1998,35
04,1999,28
04,2000,24
04,2001,38
04,2002,27
04,2003,53
04,2004,29
04,2005,31
04,2006,38
04,2007,27
04,2008,27
04,2009,45
04,2010,29
04,2011,30
04,2012,39
04,2013,25
04,2014,17
04,2015,40
04,2016,44
04,2017,50
04,2018,31
04,2019,44
04,2020,42
04,2021,23
04,2022,58
04,2023,40
04,2024,39
05,1950,11
05,1951,4
05,1952,9
05,1953,6
05,1954,2
05,1955,1
05,1956,3
05,1957,5
05,1958,7
05,1959,6
05,1960,1
05,1961,14
05,1962,14
05,1963,5
05,1964,7
05,1965,9
05,1966,5
05,1967,10
05,1968,7
05,1969,5
05,1970,10
05,1971,9
05,1972,4
05,1973,9
05,1974,9
05,1975,13
05,1976,4
05,1977,4
05,1978,6
05,1979,12
05,1980,7
05,1981,6
05,1982,9
05,1983,10
05,1984,9
05,1985,9
05,1986,11
05,1987,14
05,1988,17
05,1989,16
05,1990,16
05,1991,26
05,1992,19
05,1993,14
05,1994,26
05,1995,14
05,1996,10
05,1997,15
05,1998,21
05,1999,14
05,2000,20
05,2001,26
05,2002,20
05,2003,38
05,2004,18
05,2005,18
05,2006,26
05,2007,18
05,2008,20
05,2009,33
05,2010,19
05,2011,17
05,2012,23
05,2013,16
05,2014,9
05,2015,23
05,2016,23
05,2017,30
05,2018,23
05,2019,28
05,2020,26
05,2021,14
05,2022,35
05,2023,24
05,2024,20
06,1950,22
06,1951,5
06,1952,20
06,1953,5
06,1954,4
06,1955,4
06,1956,7
06,1957,8
06,1958,6
06,1959,17
06,1960,11
06,1961,21
06,1962,20
06,1963,14
06,1964,22
06,1965,15
06,1966,12
06,1967,17
06,1968,11
06,1969,16
06,1970,20
06,1971,24
06,1972,9
06,1973,28
06,1974,17
06,1975,22
06,1976,12
06,1977,7
06,1978,12
06,1979,16
06,1980,9
06,1981,12
06,1982,25
06,1983,19
06,1984,10
06,1985,22
06,1986,22
06,1987,19
06,1988,19
06,1989,21
06,1990,21
06,1991,27
06,1992,19
06,1993,16
06,1994,32
06,1995,16
06,1996,12
06,1997,19
06,1998,23
06,1999,21
06,2000,16
06,2001,27
06,2002,18
06,2003,48
06,2004,17
06,2005,17
06,2006,27
06,2007,20
06,2008,19
06,2009,22
06,2010,20
06,2011,16
06,2012,26
06,2013,19
06,2014,13
06,2015,30
06,2016,24
06,2017,24
06,2018,23
06,2019,26
06,2020,24
06,2021,19
06,2022,41
06,2023,33
06,2024,32
07,1950,35
07,1951,21
07,1952,33
07,1953,33
07,1954,21
07,1955,20
07,1956,11
07,1957,19
07,1958,22
07,1959,27
07,1960,11
07,1961,31
07,1962,32
07,1963,13
07,1964,21
07,1965,21
07,1966,18
07,1967,21
07,1968,11
07,1969,17
07,1970,23
07,1971,20
07,1972,13
07,1973,31
07,1974,24
07,1975,23
07,1976,34
07,1977,6
07,1978,17
07,1979,20
07,1980,16
07,1981,16
07,1982,22
07,1983,27
07,1984,18
07,1985,27
07,1986,27
07,1987,25
07,1988,23
07,1989,31
07,1990,30
07,1991,43
07,1992,28
07,1993,25
07,1994,43
07,1995,27
07,1996,16
07,1997,25
07,1998,30
07,1999,27
07,2000,24
07,2001,31
07,2002,24
07,2003,56
07,2004,26
07,2005,33
07,2006,35
07,2007,18
07,2008,21
07,2009,35
07,2010,30
07,2011,24
07,2012,29
07,2013,29
07,2014,17
07,2015,38
07,2016,38
07,2017,40
07,2018,40
07,2019,44
07,2020,40
07,2021,20
07,2022,51
07,2023,41
07,2024,32
08,1950,13
08,1951,13
08,1952,11
08,1953,8
08,1954,4
08,1955,6
08,1956,2
08,1957,13
08,1958,1
08,1959,16
08,1960,3
08,1961,9
08,1962,4
08,1963,2
08,1964,13
08,1965,2
08,1966,5
08,1967,9
08,1968,2
08,1969,8
08,1970,3
08,1971,5
08,1972,3
08,1973,11
08,1974,2
08,1975,10
08,1976,22
08,1977,2
08,1978,1
08,1979,2
08,1980,1
08,1981,2
08,1982,6
08,1983,13
08,1984,5
08,1985,1
08,1986,5
08,1987,2
08,1988,2
08,1989,5
08,1990,13
08,1991,5
08,1992,8
08,1993,2
08,1994,17
08,1995,18
08,1996,3
08,1997,10
08,1998,8
08,1999,8
08,2000,3
08,2001,10
08,2002,7
08,2003,20
08,2004,9
08,2005,13
08,2006,19
08,2007,3
08,2008,4
08,2009,7
08,2010,12
08,2011,6
08,2012,7
08,2013,13
08,2014,6
08,2015,20
08,2016,12
08,2017,14
08,2018,24
08,2019,17
08,2020,18
08,2021,4
08,2022,20
08,2023,14
08,2024,10
09,1950,27
09,1951,10
09,1952,21
09,1953,7
09,1954,3
09,1955,6
09,1956,3
09,1957,10
09,1958,13
09,1959,7
09,1960,5
09,1961,14
09,1962,14
09,1963,4
09,1964,13
09,1965,9
