id,numero,date_debut,date_signature,date_fin,statut,departement,chemin_fichier,niveau_gravite_specifique_aep,ressource_aep_communique,arrete_cadre.id,arrete_cadre.numero,arrete_cadre.date_debut,arrete_cadre.date_fin,arrete_cadre.chemin_fichier,zones_alerte.id,zones_alerte.type,zones_alerte.code,zones_alerte.nom,zones_alerte.niveau_gravite,zones_alerte.id_sandre,regle_gestion,zones_alerte.communes
34627,DDT-BIEF-2023-321-0003 du 17 novembre (ACD LB)),2023-11-18,2023-11-17,2024-01-27,abroge,48,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34627/AP7_DDT-BIEF-2023-321-0003_17novembre2023_RAA.odt.pdf,null,null,30330,ACD LB DDT-BIEF 2023-199-0002_18/07/2023,2023-07-20,2024-05-22,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-cadre/30330/AP_DDT_BIEF_2023-199-0002_18072023_VF_RAAcomplet.pdf,"[10954,10956,10955,10953]","[""SUP"",""SUP"",""SUP"",""SUP""]","[""76_48_0010"",""76_48_0012"",""76_48_0011"",""76_48_0009""]","[""bassin de l'Allier amont"",""cours d'eau Allier axe"",""bassin de l'Allier moyen"",""bassin de l'Allier (source)""]","[""alerte"",""alerte"",""alerte"",""alerte""]","[770,772,771,769]",undefined,"[[],[],[],[]]"
34643,DDTM/SER/2023334-0001,2023-11-30,2023-11-30,2024-02-01,abroge,66,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34643/AP%2030%2011%202023.pdf,null,null,30252,DDTM/SER/2023 164-0002,2023-06-13,2024-02-05,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-cadre/30252/AP%2013%20juin%202023%20-%20VDEF.pdf,"[12072,12064,12065,12067,12061,12062,12060,12070,12066,12068,12071,12069,12063]","[""SOU"",""SUP"",""SUP"",""SOU"",""SUP"",""SUP"",""SUP"",""SOU"",""SUP"",""SOU"",""SOU"",""SOU"",""SUP""]","[""76_66_6"",""76_66_5"",""76_66_6"",""76_66_1"",""76_66_2"",""76_66_3"",""76_66_1"",""76_66_4"",""76_66_7"",""76_66_2"",""76_66_5"",""76_66_3"",""76_66_4""]","[""Nappes Têt"",""Tech - Albères"",""Têt amont"",""Nappes côte nord"",""Agly aval"",""Aude amont"",""Agly amont, Boulzane et Verdou"",""Nappes Aspres-Réart"",""Têt aval"",""Nappes côte sud"",""Nappes Tech"",""Nappes Agly-Salanque"",""Sègre - Carol""]","[""crise"",""alerte_renforcee"",""crise"",""alerte_renforcee"",""crise"",""crise"",""crise"",""crise"",""crise"",""crise"",""alerte_renforcee"",""crise"",""alerte""]","[1879,121,122,124,118,119,117,1877,123,1796,1878,1797,120]",undefined,"[[],[],[],[],[],[],[],[],[],[],[],[],[]]"
34649,AP 30 NOVEMBRE 2023,2023-11-30,2023-11-30,2024-01-15,abroge,84,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34649/20231130-AP-PROLONGATION.pdf,null,null,30180,V2_84-ACD-7-AVRIL-2022,2023-04-07,2024-07-21,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-cadre/30180/ACD84-07042022-SIGNE.pdf,"[8960,8963,8964,8958,8959,8962,8965,8961,8957]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP""]",,"[""2. Durance nappe d?accompagnement"",""8. Bassin versant de la Nesque"",""7. Bassin versant du sud-ouest du Mont Ventoux"",""4. bassin versant de la meyne"",""6.1. Calavon Amont"",""5. Sud Luberon"",""3. Bassin versant des Sorgues"",""12. Rhône"",""6.2. Calavon Median""]","[""vigilance"",""alerte_renforcee"",""alerte"",""vigilance"",""alerte_renforcee"",""alerte_renforcee"",""alerte_renforcee"",""vigilance"",""alerte_renforcee""]","[1778,680,52,386,394,679,53,678,385]",undefined,"[[],[],[],[],[],[],[],[],[]]"
34647,2023-11-01,2023-12-06,2023-12-06,2024-03-27,abroge,01,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34647/20231206ApSecheresseRaaComplet_light.pdf,null,null,30258,Ain - AC 20230612 - V2,2023-06-12,2024-03-25,https://regleau.s3.gra.perf.cloud.ovh.net/arrete-cadre/30258/20230612ACSdVersionRAAAvecAnnexes+%281%29.pdf,"[9371,9372]","[""SOU"",""SOU""]","[""84_01_4"",""84_01_5""]","[""Dombes - Certines - Nord"",""Dombes - Sud""]","[""alerte_renforcee"",""alerte_renforcee""]","[70,1835]",undefined,"[[],[]]"
34655,Aude DTTM-SAFEB-2023-004,2023-12-20,2023-12-20,2024-01-28,abroge,11,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34655/Arrete_Prefectoral_DDTM-SAFEB-2023-004.pdf,null,null,30281,Aude DDTM-SEMA-2023-0116_Crise2,2023-06-22,2024-07-10,https://regleau.s3.gra.perf.cloud.ovh.net/arrete-cadre/30281/AP_SIGNE_Annexe.pdf,"[12152,12145,12153,12154,12156,12155,12149,12151,12146,12162,12163,12150,12159]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SOU"",""SOU"",""SUP"",""SUP""]","[""76_11_0009"",""76_11_0001"",""76_11_0010"",""76_11_0011"",""76_11_0013"",""76_11_0012"",""76_11_0005"",""76_11_0007"",""76_11_0002"",""76_11_0020"",""76_11_0021"",""76_11_0006"",""76_11_0017""]","[""Secteur Orbiel et affluents rive gauche de l'Aude sur ce secteur"",""Secteur Aude amont (hors axe réalimenté)"",""Secteur Cesse et affluents rive gauche de l'Aude sur ce secteur"",""Axe réalimenté Aude amont"",""Bassin versant du Fresquel"",""Axe réalimenté Aude médiane et aval et canal du Midi, y compris ses annexes (canal de Jonction, canal de la Robine)"",""Secteur Aude aval, Berre et Rieu"",""Secteur Orbieu et affluents rive droite de l'Aude sur ce secteur"",""Bassin versant de l'Agly"",""Nappe Astienne"",""Nappes Plioquaternaires du Roussilon"",""Secteur Argent-Double et affluents rive gauche de l'Aude sur ce secteur"",""Système Orb""]","[""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""crise"",""crise"",""crise"",""crise"",""crise"",""alerte_renforcee"",""alerte_renforcee""]","[1803,1798,1804,1805,1807,1806,1800,1802,1799,1874,1896,1801,1135]",undefined,"[[],[],[],[],[],[],[],[],[],[],[],[],[]]"
34653,30-2023-12-20-00001,2023-12-20,2023-12-20,2024-03-31,abroge,30,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34653/AP_2023121X_Restriction_Secheresse_v2_vf.pdf,null,null,30158,30-2023-05-24-00001v2,2023-05-24,,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-cadre/30158/AP_20230524_arrete_cadre.pdf,"[11463,11452]","[""SOU"",""SUP""]","[""76_30_000010"",""76_30_000010""]","[""Vistre (sout)"",""Vistre""]","[""vigilance"",""vigilance""]","[718,564]",undefined,"[[],[]]"
34654,DDTM34-2023-12-14430,2023-12-21,2023-12-21,2024-01-31,abroge,34,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34654/AP_DDTM34-2023-12-14430_restriction_eau_secheresse_21-12-2023_AvecAnnexe.pdf,null,null,30262,Hérault_DDTM34-2023-05-13902,2023-05-24,2024-04-29,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-cadre/30262/ACD2023_24_Mai_2023_AvecAnnexes.pdf,"[12090,12074,12086,12091,12083,12080,12085,12077,12088,12081,12082,12079,12078,12087,12075]","[""SOU"",""SUP"",""SUP"",""SOU"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP""]","[""76_34_0014"",""76_34_0002"",""76_34_0015"",""76_34_0017"",""76_34_0011"",""76_34_0008"",""76_34_0013"",""76_34_0005"",""76_34_0018"",""76_34_0009"",""76_34_0010"",""76_34_0007"",""76_34_0006"",""76_34_0016"",""76_34_0003""]","[""Nappe des sables de l'Astien"",""Bassin versant de la lagune de l'étang de l'Or"",""Bassin versant de l?Argent double et de l?Ognon"",""Molasses miocènes du bassin de Castries"",""Bassin versant de l'Orb à l?aval de la confluence avec le Jaur jusqu?à l?embouchure hors axe Orb soutenu"",""Bassin versant de l'Orb de la Source jusqu?à l?amont de la confluence avec le Jaur hors axe Orb soutenu"",""Bassin versant de l?Aude aval ? Berre et Rieu"",""Bassin versant de l'Hérault amont de la confluence avec la Vis jusqu?à la confluence avec la Lergue"",""Canal du Midi"",""Axe Orb soutenu à l'aval du barrage des Monts d'Orb"",""Bassin versant du Jaur"",""Bassin versant de l?Hérault aval de la confluence avec la Lergue jusqu?à l?embouchure"",""Bassin versant de la Lergue"",""Bassin versant de la Cesse"",""Bassin versant du Lez et de la Mosson hors axe Lez soutenu""]","[""alerte_renforcee"",""alerte"",""alerte_renforcee"",""vigilance"",""crise"",""alerte_renforcee"",""crise"",""alerte"",""vigilance"",""alerte_renforcee"",""alerte_renforcee"",""alerte_renforcee"",""alerte"",""alerte_renforcee"",""alerte_renforcee""]","[1895,1881,1892,1871,1890,1887,1891,1884,1894,1888,1889,1886,1885,1893,1882]",undefined,"[[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]"
34656,Aude_DDTM_SAFEB_2024_002,2024-01-29,2024-01-29,2024-02-27,abroge,11,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34656/DDTM-SAFEB-2024-002_restrictions%20provisoires%20usages%20eau.pdf,null,null,30281,Aude DDTM-SEMA-2023-0116_Crise2,2023-06-22,2024-07-10,https://regleau.s3.gra.perf.cloud.ovh.net/arrete-cadre/30281/AP_SIGNE_Annexe.pdf,"[12145,12146,12162,12163,12155,12159,12149,12156,12152,12153,12154,12151,12150]","[""SUP"",""SUP"",""SOU"",""SOU"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP""]","[""76_11_0001"",""76_11_0002"",""76_11_0020"",""76_11_0021"",""76_11_0012"",""76_11_0017"",""76_11_0005"",""76_11_0013"",""76_11_0009"",""76_11_0010"",""76_11_0011"",""76_11_0007"",""76_11_0006""]","[""Secteur Aude amont (hors axe réalimenté)"",""Bassin versant de l'Agly"",""Nappe Astienne"",""Nappes Plioquaternaires du Roussilon"",""Axe réalimenté Aude médiane et aval et canal du Midi, y compris ses annexes (canal de Jonction, canal de la Robine)"",""Système Orb"",""Secteur Aude aval, Berre et Rieu"",""Bassin versant du Fresquel"",""Secteur Orbiel et affluents rive gauche de l'Aude sur ce secteur"",""Secteur Cesse et affluents rive gauche de l'Aude sur ce secteur"",""Axe réalimenté Aude amont"",""Secteur Orbieu et affluents rive droite de l'Aude sur ce secteur"",""Secteur Argent-Double et affluents rive gauche de l'Aude sur ce secteur""]","[""vigilance"",""crise"",""crise"",""crise"",""vigilance"",""alerte_renforcee"",""crise"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""crise"",""vigilance""]","[1798,1799,1874,1896,1806,1135,1800,1807,1803,1804,1805,1802,1801]",undefined,"[[],[],[],[],[],[],[],[],[],[],[],[],[]]"
34658,DDTM/SER/2024030-0003,2024-01-30,2024-01-30,2024-01-29,abroge,66,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34658/AP_DDTM-SER-2024-030-0003.pdf,null,null,30395,DDTM/SER/2018150-0002,2018-05-30,2024-02-09,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-cadre/30395/2018_05_30_arrete_cadre_secheresse_signe.pdf,"[12062,12070,12060,12064,12063,12069,12061,12067,12065,12066,12072,12071,12068]","[""SUP"",""SOU"",""SUP"",""SUP"",""SUP"",""SOU"",""SUP"",""SOU"",""SUP"",""SUP"",""SOU"",""SOU"",""SOU""]","[""76_66_3"",""76_66_4"",""76_66_1"",""76_66_5"",""76_66_4"",""76_66_3"",""76_66_2"",""76_66_1"",""76_66_6"",""76_66_7"",""76_66_6"",""76_66_5"",""76_66_2""]","[""Aude amont"",""Nappes Aspres-Réart"",""Agly amont, Boulzane et Verdou"",""Tech - Albères"",""Sègre - Carol"",""Nappes Agly-Salanque"",""Agly aval"",""Nappes côte nord"",""Têt amont"",""Têt aval"",""Nappes Têt"",""Nappes Tech"",""Nappes côte sud""]","[""crise"",""crise"",""crise"",""alerte_renforcee"",""alerte"",""crise"",""crise"",""alerte_renforcee"",""crise"",""crise"",""crise"",""alerte_renforcee"",""crise""]","[119,1877,117,121,120,1797,118,124,122,123,1879,1878,1796]",undefined,"[[],[],[],[],[],[],[],[],[],[],[],[],[]]"
34660,DDTM/SER/2024030-0003,2024-01-30,2024-01-30,2024-04-03,abroge,66,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/34660/AP_DDTM-SER-2024-030-0003.pdf,null,null,30396,DDTM/SER/2018150-0002,2018-05-30,,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-cadre/30396/2018_05_30_arrete_cadre_secheresse_signe.pdf,"[12066,12068,12069,12063,12072,12061,12065,12071,12070,12064,12060,12062,12067]","[""SUP"",""SOU"",""SOU"",""SUP"",""SOU"",""SUP"",""SUP"",""SOU"",""SOU"",""SUP"",""SUP"",""SUP"",""SOU""]","[""76_66_7"",""76_66_2"",""76_66_3"",""76_66_4"",""76_66_6"",""76_66_2"",""76_66_6"",""76_66_5"",""76_66_4"",""76_66_5"",""76_66_1"",""76_66_3"",""76_66_1""]","[""Têt aval"",""Nappes côte sud"",""Nappes Agly-Salanque"",""Sègre - Carol"",""Nappes Têt"",""Agly aval"",""Têt amont"",""Nappes Tech"",""Nappes Aspres-Réart"",""Tech - Albères"",""Agly amont, Boulzane et Verdou"",""Aude amont"",""Nappes côte nord""]","[""crise"",""crise"",""crise"",""alerte"",""crise"",""crise"",""crise"",""alerte_renforcee"",""crise"",""alerte_renforcee"",""crise"",""crise"",""alerte_renforcee""]","[123,1796,1797,120,1879,118,122,1878,1877,121,117,119,124]",undefined,"[[],[],[],[],[],[],[],[],[],[],[],[],[]]"
